doc_name,dominant_topic,topic_gamma
doc_00997,12,0.62149316
doc_00998,12,0.406274
doc_00999,12,0.2879765
doc_01000,12,0.51276207
doc_01001,12,0.640604
doc_01002,2,0.15463337
doc_01003,2,0.31006104
doc_01004,1,0.18529062
doc_01005,3,0.21747202
doc_01006,10,0.2764297
doc_01007,12,0.16432798
doc_01008,1,0.29529068
doc_01009,1,0.3992292
doc_01010,1,0.39119738
doc_01011,1,0.42903182
doc_01012,1,0.49231207
doc_01013,1,0.5215097
doc_01014,10,0.29265246
doc_01015,14,0.16602021
doc_01016,9,0.30078936
doc_01017,1,0.37162498
doc_01018,1,0.137109
doc_01019,2,0.32851958
doc_01020,1,0.2829668
doc_01021,12,0.577445
doc_01022,2,0.11904509
doc_01023,10,0.10347017
doc_01024,8,0.10929226
doc_01025,2,0.37194335
doc_01026,1,0.084802
doc_01027,1,0.43159282
doc_01028,10,0.1972029
doc_01029,7,0.08564457
doc_01030,12,0.2154284
doc_01031,10,0.09688866
doc_01032,1,0.3884226
doc_01033,3,0.28111917
doc_01034,5,0.21115085
doc_01035,13,0.122638404
doc_01036,2,0.29941994
doc_01037,2,0.54071414
doc_01038,1,0.20873249
doc_01039,13,0.15865107
doc_01040,1,0.2404255
doc_01041,1,0.40412
doc_01042,11,0.17729758
doc_01043,8,0.34569058
doc_01044,2,0.30853096
doc_01045,1,0.53002167
doc_01046,4,0.3732205
doc_01047,12,0.40020603
doc_01048,12,0.547457
doc_01049,13,0.104129404
doc_01050,1,0.19160277
doc_01051,8,0.2674765
doc_01052,12,0.17174865
doc_01053,12,0.42000833
doc_01054,12,0.52576697
doc_01055,9,0.57524025
doc_01056,9,0.3168156
doc_01057,1,0.21550733
doc_01058,9,0.1848126
doc_01059,13,0.18030137
doc_01060,6,0.16962372
doc_01061,14,0.17646773
doc_01062,1,0.48341814
doc_01063,5,0.10411741
doc_01064,5,0.21150115
doc_01065,1,0.20459038
doc_01066,2,0.31526798
doc_01067,1,0.5209573
doc_01068,6,0.12208255
doc_01069,1,0.37915808
doc_01070,1,0.19290972
doc_01071,5,0.26365986
doc_01072,3,0.11437729
doc_01073,1,0.35167217
doc_01074,1,0.07895199
doc_01075,4,0.21266292
doc_01076,5,0.31067726
doc_01077,11,0.14357524
doc_01078,6,0.11321706
doc_01079,9,0.09756233
doc_01080,1,0.11985646
doc_01081,9,0.2828904
doc_01082,1,0.41551727
doc_01083,1,0.3405199
doc_01084,1,0.17222223
doc_01085,10,0.13001707
doc_01086,4,0.08819668
doc_01087,6,0.12360738
doc_01088,1,0.49073118
doc_01089,5,0.14090557
doc_01090,12,0.20268619
doc_01091,3,0.20378001
doc_01092,13,0.13773169
doc_01093,2,0.30852103
doc_01094,6,0.14633702
doc_01095,4,0.121219285
doc_01096,1,0.13233523
doc_01097,1,0.39631942
doc_01098,2,0.6363649
doc_01099,1,0.45037895
doc_01100,1,0.11506426
doc_01101,2,0.14217015
doc_01102,9,0.3238303
doc_01103,14,0.083685756
doc_01104,1,0.42639747
doc_01105,3,0.37784943
doc_01106,11,0.15712419
doc_01107,12,0.27213916
doc_01108,12,0.120069064
doc_01109,14,0.08696127
doc_01110,1,0.3934604
doc_01111,1,0.42292094
doc_01112,13,0.09245794
doc_01113,1,0.17781411
doc_01114,1,0.44785032
doc_01115,1,0.14768524
doc_01116,12,0.11738987
doc_01117,12,0.33586425
doc_01118,1,0.43010774
doc_01119,4,0.14094163
doc_01120,4,0.11247702
doc_01121,6,0.11449991
doc_01122,6,0.103339
doc_01123,1,0.1958517
doc_01124,4,0.10206246
doc_01125,5,0.2062706
doc_01126,1,0.10190532
doc_01127,12,0.099961676
doc_01128,12,0.15149087
doc_01129,13,0.13243024
doc_01130,9,0.12232811
doc_01131,1,0.439343
doc_01132,6,0.16434693
doc_01133,3,0.21027784
doc_01134,5,0.22737476
doc_01135,5,0.28194463
doc_01136,10,0.69987243
doc_01137,6,0.18577504
doc_01138,5,0.12605776
doc_01139,1,0.46418262
doc_01140,1,0.49665892
doc_01141,1,0.354235
doc_01142,12,0.16583492
doc_01143,14,0.15001093
doc_01144,10,0.45318145
doc_01145,3,0.21444175
doc_01146,15,0.35740337
doc_01147,1,0.26800922
doc_01148,9,0.113543265
doc_01149,8,0.13792491
doc_01150,1,0.13784412
doc_01151,13,0.32296348
doc_01152,4,0.18637381
doc_01153,6,0.23694624
doc_01154,1,0.26311058
doc_01155,2,0.17782056
doc_01156,6,0.29122674
doc_01157,5,0.11286926
doc_01158,1,0.5098003
doc_01159,5,0.14462738
doc_01160,1,0.37767917
doc_01161,1,0.37722987
doc_01162,9,0.28804287
doc_01163,14,0.43485054
doc_01164,14,0.28987485
doc_01165,13,0.20615453
doc_01166,14,0.42894047
doc_01167,14,0.39607123
doc_01168,14,0.15363535
doc_01169,2,0.10993388
doc_01170,3,0.13079847
doc_01171,8,0.17295545
doc_01172,8,0.17257068
doc_01173,14,0.16673541
doc_01174,14,0.27450973
doc_01175,14,0.28934836
doc_01176,10,0.117603675
doc_01177,14,0.21284826
doc_01178,10,0.09108663
doc_01179,1,0.21341492
doc_01180,4,0.1637355
doc_01181,14,0.15997857
doc_01182,6,0.13774166
doc_01183,12,0.28525102
doc_01184,14,0.17730093
doc_01185,2,0.21196875
doc_01186,5,0.32998157
doc_01187,1,0.4126271
doc_01188,3,0.17419954
doc_01189,14,0.20426445
doc_01190,1,0.29016837
doc_01191,12,0.14186108
doc_01192,1,0.47456563
doc_01193,3,0.31937712
doc_01194,3,0.13763137
doc_01195,1,0.38872004
doc_01196,12,0.33185807
doc_01197,6,0.11065504
doc_01198,8,0.19879796
doc_01199,6,0.19948399
doc_01200,2,0.29730803
doc_01201,12,0.13175894
doc_01202,4,0.12975836
doc_01203,2,0.33737445
doc_01204,12,0.12490207
doc_01205,9,0.3224554
doc_01206,1,0.09212908
doc_01207,1,0.100345425
doc_01208,1,0.44409457
doc_01209,9,0.55726594
doc_01210,4,0.29337144
doc_01211,9,0.39427644
doc_01212,6,0.13651977
doc_01213,4,0.3073112
doc_01214,2,0.10756695
doc_01215,12,0.14100677
doc_01216,9,0.15212584
doc_01217,2,0.50438213
doc_01218,14,0.2927875
doc_01219,12,0.13009472
doc_01220,5,0.115707286
doc_01221,13,0.112377554
doc_01222,10,0.09515314
doc_01223,1,0.39684087
doc_01224,1,0.17300998
doc_01225,13,0.24654153
doc_01226,10,0.093479134
doc_01227,2,0.27412638
doc_01228,4,0.16216306
doc_01229,1,0.45824364
doc_01230,1,0.42735928
doc_01231,4,0.18984276
doc_01232,11,0.14770278
doc_01233,1,0.44793865
doc_01234,4,0.10799432
doc_01235,10,0.24764115
doc_01236,1,0.115421735
doc_01237,2,0.3078064
doc_01238,2,0.56645846
doc_01239,1,0.44386837
doc_01240,9,0.3488531
doc_01241,2,0.18561472
doc_01242,1,0.26985094
doc_01243,5,0.27317953
doc_01244,13,0.1810196
doc_01245,3,0.13933915
doc_01246,12,0.10088713
doc_01247,5,0.31978536
doc_01248,3,0.20711774
doc_01249,1,0.20500937
doc_01250,3,0.65853643
doc_01251,4,0.32439947
doc_01252,5,0.19889319
doc_01253,14,0.14026828
doc_01254,1,0.16843762
doc_01255,13,0.1350655
doc_01256,9,0.121120214
doc_01257,3,0.1752832
doc_01258,6,0.1739046
doc_01259,13,0.17290469
doc_01260,4,0.38950077
doc_01261,5,0.17783694
doc_01262,9,0.50589895
doc_01263,10,0.30128422
doc_01264,6,0.16649817
doc_01265,10,0.10814082
doc_01266,3,0.28995118
doc_01267,1,0.38002768
doc_01268,13,0.15752296
doc_01269,14,0.4467848
doc_01270,3,0.11994618
doc_01271,8,0.17577042
doc_01272,1,0.34239528
doc_01273,1,0.41577205
doc_01274,10,0.086984165
doc_01275,12,0.23560816
doc_01276,12,0.19655602
doc_01277,2,0.34191203
doc_01278,10,0.101877764
doc_01279,1,0.1289025
doc_01280,1,0.38957486
doc_01281,4,0.13439833
doc_01282,1,0.26014695
doc_01283,4,0.09863439
doc_01284,1,0.096460104
doc_01285,13,0.1265043
doc_01286,1,0.12223016
doc_01287,1,0.15539911
doc_01288,4,0.29643902
doc_01289,1,0.6018453
doc_01290,1,0.6061903
doc_01291,1,0.27908117
doc_01292,4,0.41349384
doc_01293,10,0.09924276
doc_01294,4,0.24520098
doc_01295,8,0.18476792
doc_01296,15,0.77596325
doc_01297,14,0.20812011
doc_01298,14,0.24212538
doc_01299,1,0.53709984
doc_01300,1,0.61044693
doc_01301,1,0.4502154
doc_01302,1,0.4371286
doc_01303,8,0.42774954
doc_01304,4,0.15466247
doc_01305,8,0.22279003
doc_01306,12,0.36671972
doc_01307,10,0.15852949
doc_01308,10,0.10224181
doc_01309,6,0.138281
doc_01310,12,0.15856418
doc_01311,2,0.116821356
doc_01312,13,0.14080442
doc_01313,8,0.13179351
doc_01314,5,0.33031905
doc_01315,1,0.22732355
doc_01316,5,0.15629627
doc_01317,5,0.31032202
doc_01318,5,0.21748173
doc_01319,8,0.33260545
doc_01320,11,0.2581235
doc_01321,1,0.41230854
doc_01322,10,0.23574172
doc_01323,6,0.14203568
doc_01324,11,0.12749678
doc_01325,3,0.14540604
doc_01326,1,0.43884403
doc_01327,2,0.5442045
doc_01328,14,0.40448648
doc_01329,5,0.13186325
doc_01330,1,0.42182544
doc_01331,5,0.3770055
doc_01332,5,0.1021537
doc_01333,5,0.12794311
doc_01334,9,0.5005798
doc_01335,1,0.3770767
doc_01336,2,0.5505535
doc_01337,2,0.33903003
doc_01338,8,0.2583612
doc_01339,1,0.44849408
doc_01340,1,0.20214328
doc_01341,4,0.11539548
doc_01342,1,0.29760376
doc_01343,3,0.11807778
doc_01344,5,0.29208595
doc_01345,2,0.16152143
doc_01346,9,0.39497975
doc_01347,2,0.21342774
doc_01348,10,0.1323519
doc_01349,2,0.17141977
doc_01350,11,0.16566944
doc_01351,2,0.2592881
doc_01352,6,0.28701407
doc_01353,1,0.22760865
doc_01354,2,0.33717078
doc_01355,2,0.22795452
doc_01356,1,0.121938415
doc_01357,1,0.31882873
doc_01358,2,0.32152435
doc_01359,6,0.09237407
doc_01360,5,0.10534702
doc_01361,9,0.29753622
doc_01362,1,0.41338784
doc_01363,1,0.45199955
doc_01364,2,0.10844278
doc_01365,12,0.39478496
doc_01366,5,0.24374424
doc_01367,1,0.22477396
doc_01368,5,0.14570023
doc_01369,13,0.13213135
doc_01370,1,0.23415995
doc_01371,2,0.44700497
doc_01372,2,0.6247953
doc_01373,1,0.52486277
doc_01374,1,0.29868028
doc_01375,8,0.18491289
doc_01376,1,0.5593222
doc_01377,8,0.5254919
doc_01378,1,0.22049417
doc_01379,14,0.1982653
doc_01380,5,0.22921558
doc_01381,8,0.20048921
doc_01382,11,0.28436196
doc_01383,13,0.53818214
doc_01384,13,0.21167532
doc_01385,5,0.3191214
doc_01386,8,0.15350302
doc_01387,4,0.10854562
doc_01388,1,0.11508189
doc_01389,12,0.18593845
doc_01390,12,0.2975065
doc_01391,12,0.21881925
doc_01392,12,0.1952012
doc_01393,12,0.12777829
doc_01394,1,0.43133286
doc_01395,5,0.14539081
doc_01396,2,0.28162032
doc_01397,1,0.510671
doc_01398,1,0.15482037
doc_01399,12,0.22383885
doc_01400,3,0.10990238
doc_01401,2,0.110093005
doc_01402,1,0.5184797
doc_01403,1,0.31074253
doc_01404,12,0.13581683
doc_01405,8,0.12130012
doc_01406,4,0.124938875
doc_01407,5,0.32196176
doc_01408,2,0.15140103
doc_01409,1,0.52049166
doc_01410,6,0.271884
doc_01411,1,0.2934452
doc_01412,4,0.147391
doc_01413,1,0.41062424
doc_01414,1,0.41374812
doc_01415,2,0.4581009
doc_01416,2,0.32178402
doc_01417,2,0.10917974
doc_01418,4,0.22366859
doc_01419,9,0.20391068
doc_01420,6,0.34939855
doc_01421,1,0.42341948
doc_01422,1,0.42928565
doc_01423,1,0.4506344
doc_01424,14,0.5121372
doc_01425,6,0.14556171
doc_01426,1,0.220201
doc_01427,1,0.44465816
doc_01428,13,0.107096724
doc_01429,13,0.12116867
doc_01430,1,0.104480766
doc_01431,6,0.10507919
doc_01432,1,0.18799508
doc_01433,6,0.12994325
doc_01434,1,0.47473934
doc_01435,2,0.22119017
doc_01436,1,0.12116652
doc_01437,8,0.31798875
doc_01438,2,0.59042645
doc_01439,2,0.61839384
doc_01440,5,0.30658692
doc_01441,1,0.38312536
doc_01442,3,0.26043516
doc_01443,3,0.4541846
doc_01444,5,0.349834
doc_01445,2,0.17130862
doc_01446,5,0.11300092
doc_01447,5,0.22417474
doc_01448,1,0.4065564
doc_01449,2,0.215194
doc_01450,6,0.16852349
doc_01451,1,0.13374773
doc_01452,3,0.23559043
doc_01453,1,0.13374771
doc_01454,2,0.24955763
doc_01455,5,0.35575125
doc_01456,1,0.47859344
doc_01457,5,0.26977542
doc_01458,1,0.13737868
doc_01459,13,0.16038133
doc_01460,4,0.16085741
doc_01461,3,0.1514233
doc_01462,6,0.098393574
doc_01463,1,0.19629209
doc_01464,1,0.31836718
doc_01465,4,0.18293115
doc_01466,4,0.103876404
doc_01467,1,0.41081414
doc_01468,12,0.15932162
doc_01469,6,0.11294316
doc_01470,10,0.21069892
doc_01471,10,0.19564503
doc_01472,10,0.39343503
doc_01473,4,0.20607837
doc_01474,9,0.1356182
doc_01475,2,0.5427611
doc_01476,1,0.4566471
doc_01477,1,0.54411954
doc_01478,1,0.28204092
doc_01479,6,0.15947482
doc_01480,1,0.6049574
doc_01481,1,0.42786223
doc_01482,4,0.39708397
doc_01483,1,0.6320073
doc_01484,2,0.39069563
doc_01485,1,0.4123216
doc_01486,1,0.14596272
doc_01487,10,0.086947426
doc_01488,9,0.12577699
doc_01489,1,0.19862027
doc_01490,12,0.45880646
doc_01491,1,0.46900088
doc_01492,3,0.42711288
doc_01493,8,0.11683038
doc_01494,13,0.17508857
doc_01495,1,0.21651597
doc_01496,5,0.26590085
doc_01497,2,0.41738454
doc_01498,1,0.116972275
doc_01499,12,0.14000714
doc_01500,9,0.28123334
doc_01501,1,0.30860758
doc_01502,14,0.21704063
doc_01503,1,0.49052775
doc_01504,9,0.20612109
doc_01505,3,0.1934065
doc_01506,8,0.17995504
doc_01507,1,0.44758895
doc_01508,2,0.3870533
doc_01509,1,0.52977777
doc_01510,1,0.28966367
doc_01511,1,0.41698694
doc_01512,8,0.19584927
doc_01513,3,0.10216295
doc_01514,15,0.6375467
doc_01515,1,0.4087763
doc_01516,15,0.6449553
doc_01517,1,0.43685398
doc_01518,1,0.4202897
doc_01519,14,0.13512948
doc_01520,6,0.12692976
doc_01521,1,0.5052054
doc_01522,2,0.6343412
doc_01523,2,0.28550744
doc_01524,1,0.2814942
doc_01525,9,0.21558417
doc_01526,2,0.22988202
doc_01527,1,0.16097794
doc_01528,5,0.53607905
doc_01529,5,0.4488967
doc_01530,3,0.10488705
doc_01531,1,0.32024994
doc_01532,4,0.16459425
doc_01533,1,0.33835128
doc_01534,14,0.1349061
doc_01535,2,0.15992497
doc_01536,9,0.44439048
doc_01537,5,0.2817619
doc_01538,5,0.22855355
doc_01539,14,0.093576066
doc_01540,3,0.27177182
