Financial year,Period,Defect category,Overall % of tests,Overall % of defects,Dangerous defects % of tests,Dangerous defects % of defects,Major defects % of tests,Major defects % of defects
2024 to 2025,Quarter 4: January to March,Overall Initial Failure Rate,27.83%,,7.52%,,20.31%,
2024 to 2025,Quarter 4: January to March,Average defects per Initial Test Failure,,2.42,,0.38,,2.04
2024 to 2025,Quarter 3: October to December,"Body, chassis, structure",3.63%,6.51%,0.19%,1.87%,3.50%,7.38%
2024 to 2025,Quarter 3: October to December,Brakes,6.85%,16.05%,2.64%,28.80%,5.13%,13.66%
2024 to 2025,Quarter 3: October to December,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024 to 2025,Quarter 3: October to December,Identification of the vehicle,0.35%,0.62%,,,0.35%,0.73%
2024 to 2025,Quarter 3: October to December,"Lamps, reflectors and electrical equipment",11.41%,25.26%,0.13%,1.23%,11.33%,29.75%
2024 to 2025,Quarter 3: October to December,"Noise, emissions and leaks",3.33%,5.89%,0.03%,0.31%,3.32%,6.93%
2024 to 2025,Quarter 3: October to December,Road Wheels,0.39%,0.73%,0.08%,0.79%,0.32%,0.72%
2024 to 2025,Quarter 3: October to December,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2024 to 2025,Quarter 3: October to December,Seat belts and supplementary restraint systems,1.02%,1.64%,0.03%,0.27%,1.00%,1.89%
2024 to 2025,Quarter 3: October to December,Speedometer and speed limiter,0.00%,0.01%,,,0.00%,0.01%
2024 to 2025,Quarter 3: October to December,Steering,2.14%,3.65%,0.11%,1.02%,2.06%,4.14%
2024 to 2025,Quarter 3: October to December,Suspension,9.08%,19.57%,0.53%,5.54%,8.77%,22.19%
2024 to 2025,Quarter 3: October to December,Tyres,6.53%,12.61%,4.88%,60.06%,1.95%,3.75%
2024 to 2025,Quarter 3: October to December,Visibility,4.47%,7.45%,0.01%,0.10%,4.46%,8.82%
2024 to 2025,Quarter 3: October to December,Overall Initial Failure Rate,28.89%,,7.93%,,20.96%,
2024 to 2025,Quarter 3: October to December,Average defects per Initial Test Failure,,2.47,,0.39,,2.08
2024 to 2025,Quarter 2: July to September,"Body, chassis, structure",3.34%,6.37%,0.17%,1.82%,3.22%,7.23%
2024 to 2025,Quarter 2: July to September,Brakes,6.50%,16.19%,2.52%,29.18%,4.85%,13.74%
2024 to 2025,Quarter 2: July to September,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024 to 2025,Quarter 2: July to September,Identification of the vehicle,0.32%,0.60%,,,0.32%,0.71%
2024 to 2025,Quarter 2: July to September,"Lamps, reflectors and electrical equipment",10.67%,25.05%,0.13%,1.27%,10.59%,29.53%
2024 to 2025,Quarter 2: July to September,Motorcycle brakes,0.00%,0.00%,,,0.00%,0.00%
2024 to 2025,Quarter 2: July to September,"Noise, emissions and leaks",3.06%,5.78%,0.03%,0.29%,3.05%,6.81%
2024 to 2025,Quarter 2: July to September,Road Wheels,0.36%,0.71%,0.07%,0.80%,0.29%,0.69%
2024 to 2025,Quarter 2: July to September,Seat belt installation check,0.00%,0.01%,,,0.00%,0.01%
2024 to 2025,Quarter 2: July to September,Seat belts and supplementary restraint systems,0.91%,1.55%,0.03%,0.33%,0.88%,1.78%
2024 to 2025,Quarter 2: July to September,Speedometer and speed limiter,0.00%,0.01%,,,0.00%,0.01%
2024 to 2025,Quarter 2: July to September,Steering,1.92%,3.48%,0.09%,0.97%,1.84%,3.95%
2024 to 2025,Quarter 2: July to September,Suspension,8.57%,19.43%,0.49%,5.35%,8.28%,22.08%
2024 to 2025,Quarter 2: July to September,Tyres,6.29%,12.92%,4.62%,59.88%,1.96%,4.07%
2024 to 2025,Quarter 2: July to September,Visibility,4.41%,7.92%,0.01%,0.12%,4.40%,9.39%
2024 to 2025,Quarter 2: July to September,Overall Initial Failure Rate,27.73%,,7.54%,,20.20%,
2024 to 2025,Quarter 2: July to September,Average defects per Initial Test Failure,,2.41,,0.38,,2.03
2024 to 2025,Quarter 1: April to June,"Body, chassis, structure",3.32%,6.22%,0.18%,1.84%,3.19%,7.07%
2024 to 2025,Quarter 1: April to June,Brakes,6.70%,16.38%,2.62%,28.82%,5.01%,13.96%
2024 to 2025,Quarter 1: April to June,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024 to 2025,Quarter 1: April to June,Identification of the vehicle,0.35%,0.64%,,,0.35%,0.77%
2024 to 2025,Quarter 1: April to June,"Lamps, reflectors and electrical equipment",10.77%,24.78%,0.14%,1.33%,10.69%,29.34%
2024 to 2025,Quarter 1: April to June,Motorcycle brakes,0.00%,0.00%,,,0.00%,0.00%
2024 to 2025,Quarter 1: April to June,Motorcycle lamps and reflectors,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024 to 2025,Quarter 1: April to June,Motorcycle tyres,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024 to 2025,Quarter 1: April to June,"Noise, emissions and leaks",3.08%,5.70%,0.03%,0.29%,3.07%,6.75%
2024 to 2025,Quarter 1: April to June,Road Wheels,0.39%,0.77%,0.08%,0.83%,0.32%,0.76%
2024 to 2025,Quarter 1: April to June,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2024 to 2025,Quarter 1: April to June,Seat belts and supplementary restraint systems,0.97%,1.62%,0.04%,0.35%,0.94%,1.87%
2024 to 2025,Quarter 1: April to June,Speedometer and speed limiter,0.00%,0.01%,,,0.00%,0.01%
2024 to 2025,Quarter 1: April to June,Steering,1.86%,3.27%,0.10%,0.99%,1.78%,3.71%
2024 to 2025,Quarter 1: April to June,Suspension,8.45%,18.74%,0.49%,5.17%,8.17%,21.37%
2024 to 2025,Quarter 1: April to June,Tyres,6.54%,13.20%,4.87%,60.28%,1.98%,4.05%
2024 to 2025,Quarter 1: April to June,Visibility,4.91%,8.68%,0.01%,0.12%,4.90%,10.34%
2024 to 2025,Quarter 1: April to June,Overall Initial Failure Rate,27.89%,,7.87%,,20.03%,
2024 to 2025,Quarter 1: April to June,Average defects per Initial Test Failure,,2.47,,0.4,,2.07
2023 to 2024,Total,"Body, chassis, structure",3.46%,6.32%,0.19%,1.91%,3.32%,7.15%
2023 to 2024,Total,Brakes,6.83%,16.38%,2.64%,29.12%,5.11%,13.96%
2023 to 2024,Total,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2023 to 2024,Total,Identification of the vehicle,0.36%,0.64%,,,0.36%,0.76%
2023 to 2024,Total,"Lamps, reflectors and electrical equipment",11.19%,25.11%,0.15%,1.35%,11.11%,29.62%
2023 to 2024,Total,Motorcycle brakes,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2023 to 2024,Total,Motorcycle lamps and reflectors,0.00%,0.00%,,,0.00%,0.00%
2023 to 2024,Total,Motorcycle tyres,0.00%,0.00%,0.00%,0.00%,,
2023 to 2024,Total,"Noise, emissions and leaks",3.14%,5.68%,0.03%,0.30%,3.13%,6.70%
2023 to 2024,Total,Road Wheels,0.36%,0.70%,0.07%,0.75%,0.30%,0.69%
2023 to 2024,Total,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2023 to 2024,Total,Seat belts and supplementary restraint systems,1.02%,1.68%,0.03%,0.34%,0.99%,1.94%
2023 to 2024,Total,Speedometer and speed limiter,0.00%,0.01%,,,0.00%,0.01%
2023 to 2024,Total,Steering,1.88%,3.23%,0.10%,0.99%,1.80%,3.66%
2023 to 2024,Total,Suspension,9.02%,19.53%,0.51%,5.34%,8.73%,22.22%
2023 to 2024,Total,Tyres,6.37%,12.56%,4.83%,59.78%,1.82%,3.60%
2023 to 2024,Total,Visibility,4.75%,8.15%,0.01%,0.12%,4.74%,9.67%
2023 to 2024,Total,Overall Initial Failure Rate,28.58%,,7.87%,,20.72%,
2023 to 2024,Total,Average defects per Initial Test Failure,,2.45,,0.39,,2.06
2023 to 2024,Quarter 4: January to March,"Body, chassis, structure",3.45%,6.28%,0.19%,1.84%,3.32%,7.14%
2023 to 2024,Quarter 4: January to March,Brakes,6.96%,16.73%,2.71%,29.44%,5.21%,14.28%
2023 to 2024,Quarter 4: January to March,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2023 to 2024,Quarter 4: January to March,Identification of the vehicle,0.36%,0.64%,,,0.36%,0.77%
2023 to 2024,Quarter 4: January to March,"Lamps, reflectors and electrical equipment",11.11%,24.86%,0.14%,1.28%,11.04%,29.40%
2023 to 2024,Quarter 4: January to March,"Noise, emissions and leaks",3.17%,5.71%,0.03%,0.29%,3.15%,6.75%
2023 to 2024,Quarter 4: January to March,Road Wheels,0.37%,0.71%,0.07%,0.76%,0.30%,0.71%
2023 to 2024,Quarter 4: January to March,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2023 to 2024,Quarter 4: January to March,Seat belts and supplementary restraint systems,1.02%,1.66%,0.03%,0.33%,0.99%,1.92%
2023 to 2024,Quarter 4: January to March,Speedometer and speed limiter,0.00%,0.01%,,,0.00%,0.01%
2023 to 2024,Quarter 4: January to March,Steering,1.97%,3.39%,0.11%,1.04%,1.88%,3.84%
2023 to 2024,Quarter 4: January to March,Suspension,8.92%,19.32%,0.51%,5.30%,8.63%,22.02%
2023 to 2024,Quarter 4: January to March,Tyres,6.37%,12.54%,4.88%,59.60%,1.77%,3.48%
