Financial year,Period,Defect category,Overall % of tests,Overall % of defects,Dangerous defects % of tests,Dangerous defects % of defects,Major defects % of tests,Major defects % of defects
2023 to 2024,Quarter 4: January to March,Visibility,4.76%,8.13%,0.01%,0.11%,4.76%,9.68%
2023 to 2024,Quarter 4: January to March,Overall Initial Failure Rate,28.53%,,7.97%,,20.56%,
2023 to 2024,Quarter 4: January to March,Average defects per Initial Test Failure,,2.46,,0.4,,2.06
2023 to 2024,Quarter 3: October to December,"Body, chassis, structure",3.69%,6.44%,0.20%,1.95%,3.55%,7.29%
2023 to 2024,Quarter 3: October to December,Brakes,7.18%,16.49%,2.75%,29.21%,5.39%,14.11%
2023 to 2024,Quarter 3: October to December,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2023 to 2024,Quarter 3: October to December,Identification of the vehicle,0.37%,0.64%,,,0.37%,0.76%
2023 to 2024,Quarter 3: October to December,"Lamps, reflectors and electrical equipment",11.75%,25.28%,0.14%,1.28%,11.67%,29.79%
2023 to 2024,Quarter 3: October to December,"Noise, emissions and leaks",3.36%,5.79%,0.04%,0.32%,3.34%,6.81%
2023 to 2024,Quarter 3: October to December,Road Wheels,0.37%,0.69%,0.07%,0.74%,0.30%,0.68%
2023 to 2024,Quarter 3: October to December,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2023 to 2024,Quarter 3: October to December,Seat belts and supplementary restraint systems,1.09%,1.70%,0.04%,0.33%,1.05%,1.96%
2023 to 2024,Quarter 3: October to December,Speedometer and speed limiter,0.00%,0.01%,,,0.00%,0.01%
2023 to 2024,Quarter 3: October to December,Steering,2.09%,3.44%,0.11%,1.06%,2.00%,3.88%
2023 to 2024,Quarter 3: October to December,Suspension,9.59%,19.95%,0.55%,5.59%,9.27%,22.64%
2023 to 2024,Quarter 3: October to December,Tyres,6.47%,12.18%,4.97%,59.39%,1.77%,3.31%
2023 to 2024,Quarter 3: October to December,Visibility,4.56%,7.38%,0.01%,0.12%,4.55%,8.75%
2023 to 2024,Quarter 3: October to December,Overall Initial Failure Rate,29.53%,,8.16%,,21.37%,
2023 to 2024,Quarter 3: October to December,Average defects per Initial Test Failure,,2.48,,0.39,,2.09
2023 to 2024,Quarter 2: July to September,"Body, chassis, structure",3.32%,6.29%,0.18%,1.90%,3.19%,7.13%
2023 to 2024,Quarter 2: July to September,Brakes,6.53%,16.17%,2.54%,29.07%,4.85%,13.72%
2023 to 2024,Quarter 2: July to September,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2023 to 2024,Quarter 2: July to September,Identification of the vehicle,0.33%,0.63%,,,0.33%,0.74%
2023 to 2024,Quarter 2: July to September,"Lamps, reflectors and electrical equipment",10.82%,25.12%,0.14%,1.37%,10.75%,29.63%
2023 to 2024,Quarter 2: July to September,Motorcycle brakes,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2023 to 2024,Quarter 2: July to September,Motorcycle tyres,0.00%,0.00%,0.00%,0.00%,,
2023 to 2024,Quarter 2: July to September,"Noise, emissions and leaks",3.00%,5.62%,0.03%,0.30%,2.99%,6.63%
2023 to 2024,Quarter 2: July to September,Road Wheels,0.33%,0.67%,0.07%,0.72%,0.27%,0.66%
2023 to 2024,Quarter 2: July to September,Seat belt installation check,0.00%,0.01%,,,0.00%,0.01%
2023 to 2024,Quarter 2: July to September,Seat belts and supplementary restraint systems,0.96%,1.63%,0.03%,0.33%,0.93%,1.88%
2023 to 2024,Quarter 2: July to September,Speedometer and speed limiter,0.00%,0.01%,,,0.00%,0.01%
2023 to 2024,Quarter 2: July to September,Steering,1.76%,3.14%,0.09%,0.92%,1.69%,3.56%
2023 to 2024,Quarter 2: July to September,Suspension,8.92%,19.92%,0.49%,5.29%,8.63%,22.70%
2023 to 2024,Quarter 2: July to September,Tyres,6.27%,12.81%,4.68%,60.00%,1.86%,3.85%
2023 to 2024,Quarter 2: July to September,Visibility,4.49%,7.99%,0.01%,0.11%,4.49%,9.48%
2023 to 2024,Quarter 2: July to September,Overall Initial Failure Rate,28.04%,,7.61%,,20.44%,
2023 to 2024,Quarter 2: July to September,Average defects per Initial Test Failure,,2.4,,0.38,,2.02
2023 to 2024,Quarter 1: April to June,"Body, chassis, structure",3.34%,6.23%,0.19%,1.96%,3.21%,7.03%
2023 to 2024,Quarter 1: April to June,Brakes,6.61%,16.00%,2.54%,28.62%,4.95%,13.63%
2023 to 2024,Quarter 1: April to June,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
