doc_name,complaint_id,model_year,dominant_topic,topic_gamma,engine_spec,prod_year,component,mileage_miles,technical_bucket,chronic_score,gamma_vector
doc_00011,10234408,2000,9,1.0,unknown,2007,AIR BAGS,,low,1,"[4.0443862549570046e-308, 1.5709776977138134e-308, 2.216794890853595e-308, 1.328993257908686e-308, 1.273827675192776e-308, 4.1667732331553525e-308, 1.3913782804015904e-307, 2.552171455839938e-308, 1.0, 1.9924411964508837e-308, 2.1200007325512195e-308, 2.2093220003839166e-308, 1.575999879773433e-308, 8.029828395567986e-308, 1.7865785298177355e-308, 1.3933884754241576e-308, 1.3430867424220336e-308, 1.7311610164069366e-308, 2.1294040939290993e-308]"
doc_00012,10228339,2000,6,0.20517795056301993,unknown,2000,TIRES,,low,0,"[0.05598856447164233, 0.023889048004419704, 0.03907620637089716, 0.01733229189079627, 0.015623505365421491, 0.20517795056301993, 0.030971854723305093, 0.04697555732760702, 0.03711734296158165, 0.03316290061750425, 0.02837664647044997, 0.017860264579056085, 0.015900542484222048, 0.04121235482779694, 0.02174689158300319, 0.013869423194096384, 0.01886034383245096, 0.015457525499385585, 0.03228943922624903]"
doc_00013,10213327,2000,2,0.11833905771179148,unknown,2007,ELECTRICAL SYSTEM,,high,1,"[0.023909498458080426, 0.11833905771179148, 0.052115657575776034, 0.034184292633072204, 0.019574100869372967, 0.024820566843950873, 0.012441057339732917, 0.029546614111495895, 0.014087342852073423, 0.06331113177349827, 0.025409230567311075, 0.009947860530850764, 0.010890762613604806, 0.015919880635198867, 0.02190898684709495, 0.00985687539139244, 0.05011994305736975, 0.009534556616844304, 0.03533619103876487]"
doc_00014,10208089,2000,6,0.19022459998136731,unknown,2000,TIRES,,low,0,"[0.05771861506318615, 0.02385677185161971, 0.03801459289308103, 0.017594820090214333, 0.016056836537503626, 0.19022459998136731, 0.033867120812558674, 0.046432477896792834, 0.040309525998792915, 0.03296765154345589, 0.028651581584452235, 0.01917278217613265, 0.016819026868761532, 0.04446126372199247, 0.02210455415655436, 0.014644766499170006, 0.019053965757633465, 0.016476266321033793, 0.03246143423860216]"
doc_00015,10186120,2000,9,1.0,unknown,2000,AIR BAGS,,low,0,"[4.2119934273749245e-308, 1.601203792599386e-308, 2.28109090421669e-308, 1.348693599505437e-308, 1.288042051553305e-308, 4.3475950728748947e-308, 1.1794239377821282e-307, 2.631830322917902e-308, 1.0, 2.036952186898676e-308, 2.16205245702808e-308, 2.183305443269529e-308, 1.5750845871954443e-308, 8.553373555865689e-308, 1.815823493485565e-308, 1.391563615035925e-308, 1.363342813224898e-308, 1.717271537454699e-308, 2.1711955783412596e-308]"
doc_00016,10183346,2000,9,1.0,unknown,2000,AIR BAGS,,low,1,"[4.2816405476196853e-308, 1.6074217003483787e-308, 2.2944632884799897e-308, 1.354245430247205e-308, 1.2963052354329086e-308, 4.3912802776809527e-308, 1.1599060981053067e-307, 2.646399516261825e-308, 1.0, 2.0514215193363395e-308, 2.168404055999898e-308, 2.207454592483865e-308, 1.5894122443018396e-308, 8.838813272457077e-308, 1.8194444308461606e-308, 1.4026854468076636e-308, 1.368215249650671e-308, 1.732660132590468e-308, 2.1827477700766717e-308]"
doc_00017,10182404,2000,13,1.0,unknown,2000,UNKNOWN OR OTHER,,low,0,"[1.8100936004302374e-308, 1.3688713086916064e-308, 1.571689463971325e-308, 1.308295940302312e-308, 1.8939896614076913e-308, 1.658480704462947e-308, 1.5223937839420376e-308, 1.502979115615993e-308, 1.6141854193945123e-308, 1.8026169733459487e-308, 1.2998912444386344e-308, 3.4963986761603175e-308, 1.0, 1.7010598730708083e-308, 1.203358259505582e-308, 2.050251587544482e-307, 1.2393123323307447e-308, 5.315234573474319e-308, 1.514495093544759e-308]"
doc_00018,10173916,2000,3,1.0,unknown,2000,ELECTRICAL SYSTEM,,low,0,"[7.090104196882815e-308, 4.143707561140913e-308, 1.0, 3.584094009697819e-308, 2.8514566125313956e-308, 3.646019088457808e-308, 1.925003432487203e-308, 3.399107685470612e-308, 2.2971756242456033e-308, 8.510056288843626e-308, 5.057300525647012e-308, 1.5068459438816585e-308, 1.6194609668486993e-308, 2.679074570723153e-308, 4.331349339347792e-308, 1.4397316187927374e-308, 3.090007796528213e-308, 1.41282748147149e-308, 7.43935815686792e-308]"
doc_00019,10169318,2000,9,0.15867898101167432,unknown,2005,SEAT BELTS,,low,3,"[0.03455053424146311, 0.013236863800257575, 0.0185203226614115, 0.010961371340307214, 0.010649521210461328, 0.037749544266496994, 0.08484537795538226, 0.02251978766249987, 0.15867898101167432, 0.017084401630643564, 0.016409339627404318, 0.02026217875235306, 0.01382418097761271, 0.06011769277559412, 0.013790910395198945, 0.012053690182527133, 0.011224807124720465, 0.015370568179150033, 0.01713552022828401]"
doc_00020,10168962,2000,1,0.7324019953711574,unknown,2000,EXTERIOR LIGHTING,,medium,1,"[0.7324019953711574, 0.013250543685504292, 0.03319858490295764, 0.010155288905995803, 0.009113542372257488, 0.022668707051974313, 0.012653864702077152, 0.017658696720445677, 0.016893610855734754, 0.02037891779422291, 0.018392824810298806, 0.008353514272503328, 0.00786160965089429, 0.018152364910087804, 0.014396431198514834, 0.00690453729893704, 0.009802250466012196, 0.007346506526565028, 0.020416208503859376]"
doc_00021,10168785,2000,6,0.013215033835756836,unknown,2000,STRUCTURE,,low,0,"[0.013818150043630163, 0.005879818751942756, 0.007821606127410641, 0.005108827382186354, 0.005671235664056646, 0.013215033835756836, 0.01921374747885745, 0.00895078695408579, 0.02082999554988536, 0.007778619876437713, 0.007089472183656945, 0.014889379105221033, 0.008218523487032095, 0.017010263345202788, 0.006047294242223303, 0.006934772007763222, 0.005155918248499035, 0.009912386652301099, 0.007747688997756796]"
doc_00022,10168186,2000,1,1.0,unknown,2000,EXTERIOR LIGHTING,,low,0,"[1.0, 2.5412683704044013e-308, 6.259440211794241e-308, 1.993702823048717e-308, 1.922537428247942e-308, 3.2916298613297333e-308, 2.0402086920962935e-308, 3.1393627241624193e-308, 2.622542035808162e-308, 3.8099482970561757e-308, 2.867487293169386e-308, 1.628324887422573e-308, 1.600850717234277e-308, 2.832956614502498e-308, 2.418287089752947e-308, 1.415381437561253e-308, 1.907587317371624e-308, 1.459099024258626e-308, 3.209496664838025e-308]"
doc_00023,10166687,2000,9,1.0,unknown,2000,AIR BAGS,,low,0,"[4.1654591312839506e-308, 1.584070268176732e-308, 2.246783284636422e-308, 1.3474970820957746e-308, 1.298729297192286e-308, 4.344731113808249e-308, 1.1213052836066092e-307, 2.5884698990147205e-308, 1.0, 2.024304643966998e-308, 2.144554685987237e-308, 2.2721566287019554e-308, 1.6107813078343016e-308, 1.0040359445447626e-307, 1.8032145204675885e-308, 1.420860533623686e-308, 1.3576038855480216e-308, 1.768588759667445e-308, 2.163837534450512e-308]"
doc_00024,10164879,2000,1,1.0,unknown,2004,"SERVICE BRAKES, HYDRAULIC",,medium,0,"[1.0, 2.4943594810940353e-308, 4.682809537438822e-308, 1.963175438332524e-308, 1.863105747307723e-308, 7.451967172485068e-308, 3.481269331510831e-308, 4.023601742822158e-308, 4.873202739882045e-308, 3.974284607848501e-308, 3.5646361324406476e-308, 2.141308763755969e-308, 1.898948557880623e-308, 5.875988229480562e-308, 2.730267735275788e-308, 1.627515604996368e-308, 1.9391416097065816e-308, 1.8184436194397316e-308, 4.173488274698863e-308]"
doc_00025,10157019,2000,7,0.6411752237151337,unknown,2000,AIR BAGS,,low,0,"[0.02514513062768064, 0.010881109514311359, 0.014663601581745055, 0.009428886124761924, 0.009357900791087205, 0.02536298754437998, 0.6411752237151337, 0.01633493534211704, 0.06462000965497902, 0.013637621665390787, 0.014944515270546103, 0.017461948758469736, 0.012198436123777008, 0.03522480218846708, 0.012697129192707027, 0.010825926006063812, 0.00952587749013227, 0.013768530030632282, 0.015082383619862751]"
doc_00026,10156196,2000,9,0.26396810871904036,unknown,2000,AIR BAGS,,low,0,"[0.040366032369286126, 0.015971604272648918, 0.022404273136119656, 0.014000824582478266, 0.013573392237366767, 0.039388827759204735, 0.09517518407526047, 0.02481737624398181, 0.26396810871904036, 0.020367005483810496, 0.02239999694314222, 0.024111421982176376, 0.016847083866616833, 0.12024876651048091, 0.019054783303990856, 0.0149257520048665, 0.013888190553721593, 0.01864708293730567, 0.02237645705037349]"
doc_00027,10148614,2000,3,0.35473507863451464,unknown,2000,"STEERING,SUSPENSION,SERVICE BRAKES, HYDRAULIC,POWER TRAIN,ELECTRICAL SYSTEM,SEATS",,medium,0,"[0.06352629004784836, 0.044987952146996364, 0.35473507863451464, 0.029007541165554925, 0.02079970684106378, 0.04646290708441619, 0.020659226112344373, 0.0414355423720305, 0.024775878399824848, 0.0692110315720624, 0.0584607556616218, 0.014053899391752925, 0.014252767501393503, 0.027709696821051663, 0.041377515095223194, 0.012705366658789064, 0.02953585193914105, 0.012960878209367668, 0.07334211434500275]"
doc_00028,10145477,2000,9,0.5664595998087606,TDI_unknown,2000,AIR BAGS,,low,0,"[0.028352591816139857, 0.009817759973760713, 0.014163430382656127, 0.008417390282342306, 0.008160158187255333, 0.027319485410786184, 0.06292253206390547, 0.015914791744672585, 0.5664595998087606, 0.012824001178181943, 0.013615518699490566, 0.014213816457191487, 0.010120342430458753, 0.07635691433325638, 0.011340134895736527, 0.008873955192441805, 0.008421507457184537, 0.01103191542417521, 0.013858537883311916]"
doc_00029,10141045,2000,3,0.35657344677572156,unknown,2000,"STEERING,SUSPENSION,SERVICE BRAKES, HYDRAULIC,POWER TRAIN,SEATS",,medium,0,"[0.06486332331311048, 0.04452268913195086, 0.35657344677572156, 0.028516925744415753, 0.020658488017502766, 0.047474046025296465, 0.020837751915323093, 0.04224810704616872, 0.025078120962367986, 0.06878481958352786, 0.0571973226269562, 0.014125137700771721, 0.014292038656730536, 0.028048955556988085, 0.04059155602396478, 0.012731126779074705, 0.029135024784214217, 0.0130074061508074, 0.07131371320510682]"
doc_00030,10133956,2000,2,0.5552571617801645,2.0_TSI,2000,"FUEL SYSTEM, GASOLINE",,low,0,"[0.023799121217687222, 0.5552571617801645, 0.04238092695899531, 0.03364945724758908, 0.020753257084385246, 0.023734835987025242, 0.012966045116616615, 0.03266174450218419, 0.014602057217580712, 0.048984663788849185, 0.022331594460576573, 0.011002549093034723, 0.012103781219528641, 0.016186638480492656, 0.01999580843236979, 0.011075736676105312, 0.05994643070031657, 0.010618271408501011, 0.027949918627997415]"
doc_00031,10128168,2000,10,1.0,unknown,2000,"ENGINE AND ENGINE COOLING,EQUIPMENT",,high,1,"[3.901986131807971e-308, 7.171794968780534e-308, 6.750359695088674e-308, 5.340767463532433e-308, 4.1108138889249293e-308, 3.345078200570709e-308, 1.747699335079223e-308, 3.733047750690222e-308, 1.990340375221488e-308, 1.0, 3.336827826522852e-308, 1.4430489672323555e-308, 1.693272243925501e-308, 2.292765676582573e-308, 3.025166382621296e-308, 1.5202602700328443e-308, 5.380696214397503e-308, 1.410998843024029e-308, 4.845534480066571e-308]"
doc_00032,10125302,2000,11,0.2044317561006074,TDI_unknown,2000,"POWER TRAIN,ELECTRICAL SYSTEM",,low,0,"[0.05127161006509494, 0.03149416695061606, 0.11275586920394134, 0.02887207659934175, 0.018849750008175608, 0.03205893613886314, 0.019136258176734637, 0.026272194726002954, 0.021950505708522996, 0.040919242115240735, 0.2044317561006074, 0.012336207002794688, 0.012331835004022974, 0.024240437001821196, 0.08781325305227382, 0.011144704921112945, 0.02525823216194714, 0.011410688892577356, 0.10375356279735631]"
doc_00033,10125004,2000,2,1.0,TDI_unknown,2000,ENGINE AND ENGINE COOLING,,high,1,"[2.775038387751665e-308, 1.0, 5.172155371516641e-308, 3.9890357523486695e-308, 2.390392169319918e-308, 2.62554741748032e-308, 1.4229829886140577e-308, 3.475264317935391e-308, 1.608241144869131e-308, 6.343240440044559e-308, 2.583133820802057e-308, 1.2075857923678684e-308, 1.3357017122162236e-308, 1.7861478960923873e-308, 2.3073810375545775e-308, 1.2187187092238163e-308, 6.575097295956583e-308, 1.1657089972104265e-308, 3.307834238572662e-308]"
doc_00034,10122614,2000,8,0.05004193672543787,unknown,2000,EXTERIOR LIGHTING,,low,0,"[0.025462890910356868, 0.022755985466176715, 0.05699032913492188, 0.010787834641290683, 0.008494517629244901, 0.02654265104332825, 0.009438083552427385, 0.05004193672543787, 0.011653118966165813, 0.032786854373588685, 0.013980372289966174, 0.0059223265254825025, 0.006004141153616396, 0.013273119686658974, 0.011267145896285562, 0.005315684541466597, 0.012633925431646896, 0.005432305097774614, 0.01649930657705035]"
doc_00035,10120308,2000,6,0.3506478145720219,unknown,2000,SUSPENSION,,low,0,"[0.05250035148077148, 0.023383438326837, 0.03576548912691151, 0.01733810373674874, 0.016167831381708762, 0.3506478145720219, 0.034933944739696444, 0.053260879596993445, 0.0472381581837663, 0.03056023998100534, 0.02638186343225255, 0.020717623571812793, 0.01751754666413105, 0.07025730327663973, 0.02116643781784011, 0.015319084223472581, 0.018704476834217047, 0.01748759326772925, 0.02875044707725077]"
doc_00036,10118318,2000,6,0.3860238510313052,unknown,2000,ENGINE AND ENGINE COOLING,,medium,0,"[0.04496593516169201, 0.018829879320775338, 0.02999252862964623, 0.013951606104224544, 0.012897436858635038, 0.3860238510313052, 0.02639486673685562, 0.0423732457561001, 0.03539737847160699, 0.02536634873040169, 0.021762085776108157, 0.015785396431277982, 0.013597572522286015, 0.05221063851178145, 0.017196167789661133, 0.011863849414586052, 0.015014194661513448, 0.013420491812911203, 0.024050882918799987]"
doc_00037,10114006,2000,1,1.0,unknown,2000,"SERVICE BRAKES, HYDRAULIC",,low,0,"[1.0, 2.460465417295318e-308, 4.641963798263609e-308, 1.958689604505718e-308, 1.8633325433505615e-308, 6.814189635754231e-308, 3.4916576664568157e-308, 3.8243389239850257e-308, 4.805878600215677e-308, 3.905820926747559e-308, 3.605131027502827e-308, 2.1454738538967617e-308, 1.902269333466376e-308, 5.617336460824676e-308, 2.758005709901857e-308, 1.6304979214240238e-308, 1.9199111073014727e-308, 1.8224829622067504e-308, 4.2131702506598365e-308]"
doc_00038,10112374,2000,10,0.46925432327983274,unknown,2000,ENGINE AND ENGINE COOLING,,medium,0,"[0.03147040679851582, 0.04993658384916651, 0.05810347032767591, 0.04142299491082791, 0.032482189588563824, 0.025871798737925736, 0.013615667270969226, 0.028149623685549664, 0.015548491398090935, 0.46925432327983274, 0.026729304944299214, 0.011220536099806862, 0.013146223868178248, 0.01793727410105524, 0.024260748297014596, 0.011789942332166674, 0.039333725933531266, 0.010958023375982267, 0.03938713628497945]"
doc_00039,10110032,2000,1,1.0,unknown,2000,ELECTRICAL SYSTEM,,medium,0,"[1.0, 2.464738245189668e-308, 4.6473073527335395e-308, 1.9560412983935107e-308, 1.864016469099397e-308, 6.761267892293897e-308, 3.4787531050016466e-308, 3.835006033736648e-308, 4.777599374096861e-308, 3.919187013761527e-308, 3.5740881937750374e-308, 2.1462195861854197e-308, 1.9055305992726845e-308, 5.518327698430253e-308, 2.741042046403378e-308, 1.632819891889695e-308, 1.919269383529641e-308, 1.823819589957275e-308, 4.1817241529742086e-308]"
doc_00040,10108483,2000,10,1.0,unknown,2000,ENGINE AND ENGINE COOLING,,medium,0,"[3.7659479716855627e-308, 5.627533027974619e-308, 6.123014591342556e-308, 4.564845793043595e-308, 4.627818556570908e-308, 3.4352298251688987e-308, 1.813958804632474e-308, 3.619970860092595e-308, 2.0507688503890644e-308, 1.0, 3.198966353776252e-308, 1.5729072707733386e-308, 1.909185717827669e-308, 2.3816790046915834e-308, 2.8840527949243744e-308, 1.69489034610106e-308, 4.3708533511656703e-308, 1.550035134952461e-308, 4.6340075249161e-308]"
doc_00041,10104694,2000,12,0.48180795320907793,unknown,2000,VISIBILITY,,low,0,"[0.022935616408163065, 0.01351982842657702, 0.01621302789589464, 0.012248790583093087, 0.015219210720940466, 0.021476744542759545, 0.024510113604377926, 0.017623813856204117, 0.02528149773008144, 0.01709220499141832, 0.014674658196957275, 0.48180795320907793, 0.04194276769425429, 0.024530888088335437, 0.013151266493595779, 0.033594105625952914, 0.012192116753165151, 0.08985850271051363, 0.016366842572851658]"
doc_00042,10102299,2000,5,0.16103588198220417,unknown,2000,ENGINE AND ENGINE COOLING,,low,0,"[0.015330393164866958, 0.01782616773022562, 0.021439218347657323, 0.02621049207455438, 0.16103588198220417, 0.013357029105156506, 0.009304218454059123, 0.013139807859527383, 0.010185623276150036, 0.03346086405958432, 0.014449428789935463, 0.010550843104327792, 0.01418928015103571, 0.011844010524852315, 0.014182902918396648, 0.013107143719896307, 0.018527519614865755, 0.010906013584282413, 0.018882120966316626]"
doc_00043,10101164,2000,2,0.0698709016771076,unknown,2000,ELECTRICAL SYSTEM,,low,0,"[0.02579101052429514, 0.0698709016771076, 0.05017696281482778, 0.04053679544326886, 0.022381023265070694, 0.027591339297480533, 0.013846244255583538, 0.029197333837206668, 0.01555984776722464, 0.066508112100452, 0.030564546691459433, 0.011124215357905197, 0.012193582876976543, 0.01786074015897597, 0.026323637049111146, 0.01101855846733172, 0.05272338313811019, 0.01066919386958738, 0.04731617887530129]"
doc_00044,10096100,2000,9,0.2758117062461406,unknown,2000,AIR BAGS,,medium,0,"[0.02988245618096682, 0.011437652626728148, 0.016051498586381305, 0.0097765049711958, 0.009262234873230558, 0.03027835971992943, 0.1388635994607749, 0.01829409585184071, 0.2758117062461406, 0.014627133477853712, 0.015582892041920801, 0.01639076411620208, 0.011455917285460063, 0.061655998852921015, 0.013109531332361831, 0.010097201916659995, 0.009854424853714069, 0.01270353606797496, 0.01577187136419065]"
doc_00045,10093941,2000,12,0.34555639664405374,unknown,2000,VISIBILITY,,low,0,"[0.009771029101441913, 0.005619144915613873, 0.0069355869716503805, 0.005146722814488412, 0.006463160244136432, 0.008789434034432962, 0.010032565704973307, 0.007280173994924339, 0.010626865056980612, 0.0071694459484770365, 0.006176237532948958, 0.34555639664405374, 0.017764607883757527, 0.010588356737123307, 0.005555879324715111, 0.014232912703655235, 0.005055645008539222, 0.03367712479418892, 0.006873897908551884]"
doc_00046,10094291,2000,1,1.0,unknown,2000,"SERVICE BRAKES, HYDRAULIC",,high,1,"[1.0, 2.7642849060547463e-308, 5.640371791924478e-308, 2.0337671094164034e-308, 1.9023728585104293e-308, 6.895268747768542e-308, 3.034715470393474e-308, 4.4466848799667725e-308, 4.0613205761264e-308, 4.541285040105397e-308, 3.4556327099842726e-308, 1.9611079477455007e-308, 1.8204690395191447e-308, 4.378993823695876e-308, 2.6868800591722674e-308, 1.570340227787221e-308, 2.045589602143398e-308, 1.7052494815389744e-308, 4.103536936925139e-308]"
doc_00047,10086792,2000,5,0.2599828703093357,unknown,2000,ENGINE AND ENGINE COOLING,,medium,0,"[0.026695820300371664, 0.03563965464377239, 0.038286578849538594, 0.07082578775903613, 0.2599828703093357, 0.022435650311578383, 0.015283344834486037, 0.023055438125549166, 0.01669422403397328, 0.061594210669551425, 0.025503670874622738, 0.01635041039629901, 0.020964575057447855, 0.019189188103489956, 0.0253613039536764, 0.019533504703065026, 0.03970828894901726, 0.016705887372209884, 0.033357095565676495]"
doc_00048,10079891,2000,6,0.40563613323051256,unknown,2000,SUSPENSION,,medium,0,"[0.042160596039206216, 0.01736297952226315, 0.029109171607435435, 0.012394584263986395, 0.011389501115649152, 0.40563613323051256, 0.021633109068361158, 0.04256609052905164, 0.028885517489301408, 0.023960233119983534, 0.019181529161099727, 0.01324677153359058, 0.011685916080137165, 0.03916210982635877, 0.015055950897338343, 0.010179777074789053, 0.013462970163321009, 0.011368330463584719, 0.021612118231332286]"
doc_00049,10073067,2000,9,1.0,unknown,2000,AIR BAGS,,low,1,"[4.3538604323835435e-308, 1.6078925104639683e-308, 2.283444716891548e-308, 1.3615446481696667e-308, 1.323443748396828e-308, 4.543504370955672e-308, 1.2444065022809043e-307, 2.6504030551923916e-308, 1.0, 2.07346718965637e-308, 2.148193355125181e-308, 2.3818452018882926e-308, 1.67172074567648e-308, 9.638798818699082e-308, 1.798880719567525e-308, 1.4676367486405596e-308, 1.375806232160143e-308, 1.8403969142260204e-308, 2.192646424282387e-308]"
doc_00050,10072966,2000,6,0.36886191492320364,unknown,2000,"STRUCTURE,LATCHES/LOCKS/LINKAGES",,low,1,"[0.05352481570159932, 0.021531826467249698, 0.033428045590514203, 0.01617179697361908, 0.01517438893746306, 0.36886191492320364, 0.03450364108644973, 0.04753478115887028, 0.04783246073999726, 0.028669879864844316, 0.025078019330392456, 0.019877713975268774, 0.01664788672925606, 0.07342454969316263, 0.020010626889971204, 0.014514600305632213, 0.01727661586352696, 0.01667062623473304, 0.027364436826052742]"
doc_00051,10059554,2000,1,0.20118899135849055,unknown,2000,"SERVICE BRAKES, HYDRAULIC",,low,0,"[0.20118899135849055, 0.026816458674258675, 0.06489901071197182, 0.02183134569089001, 0.01973953815054378, 0.05536568539984469, 0.028699038409642157, 0.036024247251462374, 0.03838427866947024, 0.043378012858910166, 0.04393995101940883, 0.018594453100358784, 0.017325504682253284, 0.046853501096437156, 0.03294494103233034, 0.01506081055272561, 0.020680497121269497, 0.016227774091389053, 0.05124251470041142]"
doc_00052,10059305,2000,19,0.4693867052687075,unknown,2000,ENGINE AND ENGINE COOLING,,medium,1,"[0.024739880279600255, 0.019358919589305534, 0.051155372704166965, 0.02090484023263059, 0.013468423434370888, 0.020314217398343857, 0.01183198385679231, 0.015861146188308077, 0.0132727881609714, 0.027425161359207976, 0.10417976438863208, 0.008266123567009936, 0.00844858657764273, 0.01573060522475629, 0.06294016139713801, 0.007610877398704319, 0.017316341380242472, 0.007718773349249584, 0.4693867052687075]"
doc_00053,10049663,2000,3,0.4309820826340143,unknown,2000,"ENGINE AND ENGINE COOLING,EQUIPMENT",,high,4,"[0.05421866202504536, 0.03888765125824822, 0.4309820826340143, 0.02901650918310271, 0.020504000435867156, 0.03254403655617991, 0.016338274508008545, 0.03020423617504831, 0.019393317449955212, 0.07154589064640801, 0.050151043570825976, 0.011865190949447902, 0.012437955273493959, 0.021846651356841294, 0.038858942520741784, 0.011102732515002522, 0.02675428895404198, 0.011072082385160277, 0.07227645160256652]"
