doc_name,thread_name,engine_group,dominant_topic,mileage_mentioned,mileage_confidence,gamma_vector
doc_00372,Bilgisayarli sente ayari,1.6_TDI,9,NA,none,"[0.005747, 0.007452, 0.164314, 0.012166, 0.017352, 0.009809, 0.005773, 0.027301, 0.306614, 0.024208, 0.015803, 0.017167, 0.002525, 0.008817, 0.005742, 0.304820, 0.004325, 0.011897, 0.045762, 0.002406]"
doc_00373,Bilinmeyen ses,1.4_TSI,10,109000,medium,"[0.001467, 0.009839, 0.214581, 0.005324, 0.003187, 0.001927, 0.004257, 0.002516, 0.001674, 0.289909, 0.007167, 0.001580, 0.002025, 0.002695, 0.009452, 0.229918, 0.004750, 0.202062, 0.004157, 0.001513]"
doc_00374,Bilye sesi ve kasislerden geciste gicirti,1.6_TDI,17,4000,medium,"[0.000172, 0.000253, 0.001354, 0.000229, 0.000198, 0.000383, 0.000175, 0.000784, 0.000320, 0.000977, 0.001059, 0.000490, 0.000087, 0.000083, 0.000843, 0.000458, 0.989627, 0.001298, 0.000529, 0.000680]"
doc_00375,Birkac Soru ve Sorun,1.2_TSI,18,NA,none,"[0.000059, 0.000911, 0.000142, 0.000380, 0.000046, 0.000236, 0.000072, 0.000145, 0.000219, 0.000406, 0.000626, 0.000057, 0.000346, 0.000191, 0.001142, 0.001682, 0.000332, 0.992290, 0.000218, 0.000500]"
doc_00376,Bluetooth Uyumlu degil hatasi,unknown,7,NA,none,"[0.005362, 0.005489, 0.018409, 0.015891, 0.030427, 0.008319, 0.484243, 0.004157, 0.361378, 0.007484, 0.008233, 0.005987, 0.004660, 0.008192, 0.002861, 0.006208, 0.005665, 0.007342, 0.009368, 0.000325]"
doc_00377,Bluetooth'ta muzik calma sorunu,unknown,6,NA,none,"[0.002422, 0.000968, 0.000627, 0.001564, 0.011021, 0.969566, 0.002782, 0.000625, 0.001573, 0.000717, 0.000858, 0.000973, 0.000770, 0.001649, 0.000288, 0.000200, 0.000836, 0.001120, 0.001414, 0.000027]"
doc_00378,Bogaz kelebegi arizasi ve cozumu,unknown,7,21000,medium,"[0.000171, 0.000294, 0.000643, 0.000541, 0.000684, 0.000663, 0.990362, 0.000327, 0.000486, 0.000374, 0.000875, 0.000395, 0.000436, 0.000445, 0.000574, 0.001175, 0.000383, 0.000699, 0.000264, 0.000208]"
doc_00379,Bu Ariza Kodlarinin Cozumunu Bilen Var mi?,unknown,1,113972,high,"[0.949866, 0.000569, 0.003070, 0.001561, 0.011875, 0.002030, 0.001523, 0.002545, 0.001729, 0.001010, 0.003640, 0.001198, 0.001262, 0.006499, 0.002458, 0.001290, 0.002745, 0.002121, 0.002738, 0.000270]"
doc_00380,Bu Parca Nedir?,1.6_TDI,19,NA,none,"[0.002493, 0.001824, 0.013156, 0.003844, 0.002332, 0.002314, 0.000606, 0.003584, 0.004726, 0.004351, 0.003691, 0.003625, 0.000588, 0.001380, 0.001348, 0.000865, 0.000778, 0.001797, 0.946036, 0.000663]"
doc_00381,Bu Yag Uyumlu Mu,1.6_TDI,15,NA,none,"[0.001340, 0.000637, 0.003947, 0.000612, 0.000689, 0.001309, 0.000811, 0.001462, 0.002244, 0.003614, 0.001137, 0.001285, 0.000393, 0.001218, 0.967857, 0.000869, 0.000793, 0.005597, 0.002616, 0.001570]"
doc_00382,Bu parca ne ise yarar?,unknown,19,NA,none,"[0.256762, 0.001610, 0.003085, 0.003641, 0.033313, 0.004611, 0.004575, 0.004234, 0.006507, 0.001493, 0.002259, 0.003016, 0.004125, 0.005534, 0.001802, 0.000560, 0.001769, 0.003565, 0.657379, 0.000161]"
doc_00383,Bu parca nedir?,unknown,5,NA,none,"[0.044352, 0.014525, 0.013766, 0.024239, 0.410404, 0.018013, 0.039646, 0.014808, 0.023636, 0.011236, 0.012443, 0.280918, 0.014541, 0.025749, 0.003019, 0.003883, 0.014845, 0.011932, 0.017817, 0.000228]"
doc_00384,Bu ses nedir,unknown,18,NA,none,"[0.002606, 0.000950, 0.006870, 0.004639, 0.005688, 0.004188, 0.003603, 0.002310, 0.005560, 0.002147, 0.004210, 0.003060, 0.004658, 0.005083, 0.006658, 0.004728, 0.004918, 0.925315, 0.002648, 0.000160]"
doc_00385,Bu sesin nerden kaynaklandigini bilemiyorlar,other,18,82000,high,"[0.001067, 0.003882, 0.000444, 0.000535, 0.000701, 0.000439, 0.000111, 0.001227, 0.000430, 0.001157, 0.001528, 0.000103, 0.000388, 0.000339, 0.000712, 0.292587, 0.003127, 0.686535, 0.000114, 0.004575]"
doc_00386,Bu sogutma borusu kullanilir mi?,unknown,3,NA,none,"[0.003060, 0.001950, 0.947825, 0.002695, 0.013759, 0.002070, 0.002031, 0.001183, 0.004219, 0.000693, 0.001826, 0.001204, 0.001975, 0.003691, 0.000499, 0.002435, 0.001340, 0.003993, 0.003468, 0.000085]"
doc_00387,Bugunun Kazasi,1.4_TSI,13,10000,range,"[0.000602, 0.002830, 0.000340, 0.000645, 0.000708, 0.000259, 0.001612, 0.000625, 0.000096, 0.001947, 0.002166, 0.000304, 0.978070, 0.000448, 0.001544, 0.002744, 0.000668, 0.003422, 0.000775, 0.000195]"
doc_00388,Burclari Degistirmisler Mi? Yardim,unknown,19,80000,high,"[0.001070, 0.001005, 0.001804, 0.001697, 0.001129, 0.001655, 0.000853, 0.000744, 0.001409, 0.000883, 0.001497, 0.001332, 0.291572, 0.001192, 0.002950, 0.000962, 0.000790, 0.008931, 0.677599, 0.000925]"
doc_00389,Bursa Gate way montaji ve kodlamasi,unknown,6,NA,none,"[0.005526, 0.000217, 0.004719, 0.003183, 0.042135, 0.872107, 0.006719, 0.004170, 0.014188, 0.001329, 0.005999, 0.004200, 0.001240, 0.006986, 0.001978, 0.003122, 0.000501, 0.012134, 0.009420, 0.000127]"
doc_00390,Bursa aku tanitma hk.,unknown,3,NA,none,"[0.023181, 0.003759, 0.353152, 0.011895, 0.106415, 0.010825, 0.010735, 0.005848, 0.030942, 0.001987, 0.348921, 0.007232, 0.008979, 0.023386, 0.001386, 0.007473, 0.007747, 0.010277, 0.025250, 0.000611]"
doc_00391,Buyuk Lastik DSG iliskisi,1.2_TSI,14,32000,medium,"[0.000574, 0.007681, 0.000409, 0.001592, 0.001829, 0.183711, 0.000733, 0.000963, 0.000890, 0.004246, 0.005305, 0.000388, 0.001381, 0.744139, 0.005194, 0.011323, 0.000728, 0.022396, 0.001227, 0.005292]"
doc_00392,Buzda fren yaptigimda gelen ses,unknown,19,NA,none,"[0.000930, 0.000503, 0.001221, 0.001342, 0.001346, 0.001349, 0.000549, 0.000465, 0.001308, 0.000509, 0.001154, 0.000864, 0.001028, 0.000807, 0.001201, 0.000567, 0.000518, 0.001961, 0.981831, 0.000548]"
doc_00393,CLH MOTOR GAZA BASIP CEKINCE SES,unknown,9,NA,none,"[0.004983, 0.004235, 0.014086, 0.009453, 0.019270, 0.012669, 0.010828, 0.003724, 0.794451, 0.004482, 0.011822, 0.009020, 0.008370, 0.008710, 0.016272, 0.017564, 0.007157, 0.026385, 0.011237, 0.005283]"
doc_00394,CXX 1.6 TDI Antifriz Eksiltme Problemi,1.6_TDI,5,NA,none,"[0.002004, 0.000490, 0.004857, 0.000990, 0.902543, 0.002248, 0.000651, 0.003046, 0.002123, 0.002033, 0.001619, 0.001780, 0.000282, 0.002156, 0.066627, 0.001027, 0.001085, 0.001137, 0.001715, 0.001584]"
doc_00395,Cakma J far uzunlarin kodlamasi,unknown,1,NA,none,"[0.659838, 0.001898, 0.009457, 0.007662, 0.254074, 0.007204, 0.002958, 0.005883, 0.007603, 0.002631, 0.005637, 0.005392, 0.003220, 0.007961, 0.002036, 0.001863, 0.004186, 0.002516, 0.007708, 0.000272]"
doc_00396,Calistirma sistemi arizali servis uyarisi,unknown,4,NA,none,"[0.002310, 0.000879, 0.002611, 0.936081, 0.008901, 0.002873, 0.004131, 0.002690, 0.003484, 0.001368, 0.009717, 0.002165, 0.001880, 0.005756, 0.001142, 0.003092, 0.002550, 0.004745, 0.003405, 0.000220]"
doc_00397,Calistirma sorunu,1.6_TDI,3,10000,medium,"[0.000262, 0.000313, 0.977161, 0.000260, 0.000340, 0.000381, 0.000290, 0.000525, 0.000446, 0.000241, 0.012851, 0.000361, 0.000163, 0.000426, 0.000489, 0.001752, 0.000292, 0.001414, 0.000915, 0.001117]"
doc_00398,Cam Bugulanmasi,unknown,4,NA,none,"[0.003293, 0.001608, 0.001342, 0.942847, 0.007740, 0.003242, 0.007107, 0.002034, 0.002295, 0.001812, 0.003149, 0.002672, 0.002288, 0.002366, 0.001860, 0.001446, 0.002625, 0.006931, 0.002887, 0.000457]"
doc_00399,Cam Dugmesi Kromaji degisimi hk.,unknown,6,NA,none,"[0.009399, 0.005047, 0.009144, 0.011079, 0.035551, 0.505868, 0.006905, 0.003632, 0.318728, 0.004886, 0.007526, 0.007360, 0.004794, 0.019281, 0.003730, 0.004728, 0.005385, 0.008489, 0.027984, 0.000485]"
doc_00400,Cam Kalibrasyonu(Videolu),unknown,5,NA,none,"[0.002238, 0.000305, 0.002343, 0.001312, 0.975200, 0.002162, 0.001302, 0.001729, 0.001653, 0.000421, 0.001631, 0.001064, 0.000719, 0.003310, 0.000558, 0.001229, 0.001364, 0.000739, 0.000595, 0.000125]"
doc_00401,Cam Motoru Mekanizmasi Sorunu ve Yavas Calismasi,unknown,2,NA,none,"[0.001307, 0.962663, 0.003439, 0.001972, 0.004599, 0.002229, 0.003121, 0.001877, 0.002320, 0.000714, 0.000863, 0.001477, 0.002142, 0.002799, 0.001437, 0.001032, 0.001886, 0.002131, 0.001853, 0.000140]"
doc_00402,Cam Tavan Kilitlendi,unknown,5,NA,none,"[0.001418, 0.000228, 0.001906, 0.001264, 0.969237, 0.002500, 0.000942, 0.001267, 0.001317, 0.000250, 0.010185, 0.001354, 0.000963, 0.002004, 0.000573, 0.001281, 0.001229, 0.000793, 0.000645, 0.000643]"
doc_00403,Cam acma dugmesi sorunu,unknown,17,NA,none,"[0.002356, 0.000898, 0.002284, 0.002344, 0.011134, 0.002068, 0.001564, 0.001790, 0.002880, 0.001653, 0.002058, 0.001784, 0.001091, 0.001528, 0.000469, 0.000797, 0.959309, 0.002207, 0.001735, 0.000050]"
doc_00404,Cam catlagi yardim,unknown,17,350000,range,"[0.000436, 0.000152, 0.000357, 0.000342, 0.001295, 0.000347, 0.000475, 0.000482, 0.000446, 0.000332, 0.000767, 0.000251, 0.000234, 0.000341, 0.000301, 0.000316, 0.991959, 0.000921, 0.000216, 0.000029]"
doc_00405,Cam catlamasi ve muayene,unknown,8,NA,none,"[0.013069, 0.005826, 0.008973, 0.016364, 0.047389, 0.008506, 0.007876, 0.545028, 0.010595, 0.007060, 0.009617, 0.009661, 0.007558, 0.006911, 0.001811, 0.008332, 0.265908, 0.009839, 0.009511, 0.000166]"
doc_00406,Cam cizigi,unknown,4,15000,medium,"[0.009173, 0.008591, 0.000009, 0.936072, 0.011026, 0.004021, 0.002417, 0.002696, 0.004264, 0.002987, 0.000328, 0.000030, 0.000087, 0.002110, 0.000706, 0.005894, 0.003608, 0.001730, 0.003271, 0.000977]"
doc_00407,Cam degisimi,unknown,17,NA,none,"[0.002597, 0.001007, 0.002455, 0.002761, 0.009536, 0.002028, 0.001729, 0.002110, 0.003308, 0.001815, 0.002377, 0.001906, 0.001251, 0.001407, 0.000532, 0.000876, 0.957498, 0.002716, 0.002036, 0.000054]"
doc_00408,Cam icerden buhulanma ve icerden buz tutmasi,unknown,4,NA,none,"[0.000356, 0.000314, 0.000567, 0.986692, 0.001159, 0.001013, 0.000790, 0.000555, 0.000626, 0.000407, 0.000974, 0.000738, 0.000563, 0.000579, 0.000521, 0.000916, 0.000483, 0.001576, 0.000904, 0.000267]"
doc_00409,Cam kapandiktan sonra tekrar aciliyor (videolu),1.2_TSI,6,NA,none,"[0.000934, 0.002852, 0.000119, 0.000642, 0.417783, 0.559479, 0.000997, 0.001600, 0.000711, 0.000515, 0.001615, 0.000175, 0.000316, 0.002584, 0.001081, 0.002565, 0.000780, 0.002542, 0.000366, 0.002342]"
doc_00410,Cam kireclenmesi,unknown,8,NA,none,"[0.027286, 0.006753, 0.004789, 0.012744, 0.070451, 0.006813, 0.018670, 0.781683, 0.008276, 0.005126, 0.006029, 0.006925, 0.007432, 0.008389, 0.001064, 0.003347, 0.010649, 0.005342, 0.008176, 0.000056]"
doc_00411,Cam otomatigi,unknown,18,NA,none,"[0.000975, 0.000304, 0.003491, 0.002642, 0.001477, 0.002640, 0.001666, 0.000819, 0.002147, 0.000562, 0.041829, 0.002149, 0.003087, 0.002285, 0.002390, 0.002803, 0.002369, 0.924367, 0.001500, 0.000499]"
doc_00412,Cam tavan,unknown,13,NA,none,"[0.000861, 0.000649, 0.001305, 0.001047, 0.002749, 0.000846, 0.000662, 0.000777, 0.001064, 0.000464, 0.000725, 0.000996, 0.982264, 0.001178, 0.000361, 0.000498, 0.000471, 0.001469, 0.001572, 0.000040]"
doc_00413,Cam tavan su alma problemi,unknown,13,23000,medium,"[0.000111, 0.000155, 0.000270, 0.000159, 0.000283, 0.000246, 0.000202, 0.000165, 0.000126, 0.000090, 0.000250, 0.000223, 0.995655, 0.000232, 0.000366, 0.000274, 0.000127, 0.000688, 0.000250, 0.000127]"
doc_00414,Camda silecek izi ve Silecek onerisi,unknown,17,NA,none,"[0.004780, 0.001422, 0.003765, 0.004049, 0.014671, 0.002889, 0.002383, 0.003159, 0.004609, 0.002545, 0.003689, 0.002837, 0.001771, 0.002153, 0.000789, 0.001284, 0.936357, 0.003790, 0.002974, 0.000081]"
doc_00415,Camlarin kumandadan acilip kapanmasi,unknown,17,NA,none,"[0.000722, 0.000408, 0.001012, 0.000842, 0.002013, 0.001117, 0.000963, 0.000870, 0.000829, 0.000767, 0.001630, 0.000854, 0.000788, 0.000501, 0.001099, 0.001059, 0.980570, 0.003033, 0.000570, 0.000353]"
doc_00416,Celik vs Lastik Sibop Sorunsali,1.6_TDI,16,NA,none,"[0.000247, 0.000224, 0.010230, 0.000756, 0.000752, 0.000735, 0.000758, 0.004574, 0.001694, 0.001764, 0.002031, 0.001441, 0.000236, 0.001063, 0.000533, 0.969688, 0.000422, 0.001743, 0.000825, 0.000284]"
doc_00417,Ceviz buyuklugunde doluya denk geldik,unknown,1,NA,none,"[0.976023, 0.000384, 0.001681, 0.001363, 0.006591, 0.001137, 0.000523, 0.001129, 0.001298, 0.000589, 0.001316, 0.000972, 0.000666, 0.001418, 0.000669, 0.000302, 0.000845, 0.000690, 0.002345, 0.000061]"
doc_00418,Cif u led orjinal,unknown,5,NA,none,"[0.011713, 0.001796, 0.003961, 0.003149, 0.922739, 0.005006, 0.005441, 0.003017, 0.007821, 0.001918, 0.002512, 0.003098, 0.001933, 0.008971, 0.000650, 0.000589, 0.010800, 0.001774, 0.003062, 0.000051]"
doc_00419,Cin mali 1.4 tsi 1.2 tsi motor kapagi kullanan arkadaslara uyari,1.4_TSI,19,NA,none,"[0.000606, 0.002308, 0.000948, 0.001667, 0.000491, 0.000440, 0.000551, 0.000618, 0.000353, 0.002256, 0.002936, 0.000483, 0.000434, 0.000417, 0.001670, 0.013726, 0.000490, 0.002174, 0.966864, 0.000566]"
doc_00420,Cin mali j far 7.5,unknown,5,NA,none,"[0.003024, 0.000513, 0.003053, 0.002083, 0.971320, 0.002730, 0.000988, 0.001950, 0.002885, 0.000623, 0.001193, 0.001840, 0.000831, 0.002859, 0.000236, 0.000746, 0.001229, 0.000475, 0.001368, 0.000054]"
doc_00421,Cok ilginc yada ben ilk defa Golf e bindigim icin,unknown,12,NA,none,"[0.000426, 0.000343, 0.000396, 0.001051, 0.001598, 0.001046, 0.000614, 0.000425, 0.000549, 0.000450, 0.001074, 0.984834, 0.000886, 0.000867, 0.000856, 0.001275, 0.000526, 0.001693, 0.000722, 0.000370]"
doc_00422,Comfortline icin sonradan takilan Far ve Yagmur Sensoru Hk,unknown,12,NA,none,"[0.003257, 0.001463, 0.002587, 0.005602, 0.024302, 0.004013, 0.002229, 0.002183, 0.004672, 0.002067, 0.003138, 0.924923, 0.002455, 0.004399, 0.000741, 0.002311, 0.002306, 0.003022, 0.004223, 0.000108]"
doc_00423,Composition Media SD Kart Okuma Sorunu,unknown,7,NA,none,"[0.002186, 0.001200, 0.001051, 0.001746, 0.006964, 0.001246, 0.973018, 0.000864, 0.002112, 0.001328, 0.001211, 0.000970, 0.000880, 0.001541, 0.000290, 0.000300, 0.001180, 0.000784, 0.001111, 0.000017]"
doc_00424,Cozuldu - Surucu kapisinin acildigini arac gormuyor.,unknown,9,NA,none,"[0.000614, 0.000378, 0.001258, 0.001000, 0.003807, 0.000887, 0.001356, 0.000415, 0.979722, 0.000460, 0.001321, 0.000542, 0.000504, 0.001545, 0.000995, 0.001585, 0.000781, 0.001775, 0.000935, 0.000121]"
doc_00425,Cozuldu: Golf 7 kapilarin kendiliginden kilitlemesi,unknown,7,NA,none,"[0.000343, 0.000217, 0.000279, 0.000289, 0.001261, 0.000742, 0.990913, 0.000468, 0.000541, 0.000231, 0.000484, 0.000345, 0.000400, 0.000625, 0.000596, 0.000540, 0.000340, 0.001047, 0.000199, 0.000140]"
doc_00426,Cozulemeyen Silecek ve Yagmur Sensoru Sorunu,unknown,1,NA,none,"[0.938219, 0.001002, 0.004424, 0.003344, 0.017884, 0.002962, 0.001414, 0.002706, 0.003517, 0.001435, 0.003192, 0.002420, 0.001756, 0.003773, 0.001508, 0.000818, 0.002192, 0.001729, 0.005567, 0.000139]"
doc_00427,Cruise kontrol,unknown,3,NA,none,"[0.003630, 0.002735, 0.882446, 0.003825, 0.037090, 0.004642, 0.004469, 0.002363, 0.004956, 0.001042, 0.005477, 0.002801, 0.004043, 0.005988, 0.003735, 0.011200, 0.003042, 0.010543, 0.003930, 0.002042]"
doc_00428,D3S Ampul,unknown,1,20000,medium,"[0.995372, 0.000062, 0.000139, 0.000105, 0.001800, 0.000143, 0.000265, 0.000207, 0.000128, 0.000089, 0.000322, 0.000087, 0.000102, 0.000315, 0.000232, 0.000032, 0.000220, 0.000166, 0.000199, 0.000013]"
doc_00429,DIREKSIYON TITREME,unknown,16,NA,none,"[0.004271, 0.002538, 0.000019, 0.002742, 0.006487, 0.002721, 0.002767, 0.003619, 0.003700, 0.002033, 0.000486, 0.000022, 0.000107, 0.002835, 0.001308, 0.951071, 0.006280, 0.005205, 0.000490, 0.001299]"
doc_00430,DIREKSIYONDAN GELEN SES,unknown,12,NA,none,"[0.007135, 0.003416, 0.006927, 0.011629, 0.034271, 0.006670, 0.004813, 0.004260, 0.008653, 0.004283, 0.006135, 0.852357, 0.008872, 0.015543, 0.001837, 0.004589, 0.003655, 0.006401, 0.008336, 0.000218]"
doc_00431,"DSG - ""Araci P konumunda birakiniz"" hatasi ve muhtemel cozum yollari",unknown,19,NA,none,"[0.002257, 0.000755, 0.001939, 0.002452, 0.004494, 0.001428, 0.000721, 0.000752, 0.002472, 0.000826, 0.001166, 0.001273, 0.001250, 0.001401, 0.000440, 0.000307, 0.000603, 0.001010, 0.974394, 0.000062]"
doc_00432,DSG 2. VITESTEN 3'E UZUN SUREDE GECME,unknown,3,NA,none,"[0.001867, 0.001162, 0.679438, 0.002086, 0.005256, 0.001890, 0.002207, 0.001104, 0.003338, 0.000802, 0.002345, 0.001020, 0.002713, 0.002812, 0.002383, 0.005589, 0.003171, 0.278756, 0.001907, 0.000152]"
doc_00433,DSG 3.viteste motor sogukken titreme yapiyor,unknown,18,10000,medium,"[0.004772, 0.001769, 0.014505, 0.007730, 0.011740, 0.007411, 0.006683, 0.004020, 0.011122, 0.003691, 0.007604, 0.007051, 0.008429, 0.008442, 0.009100, 0.009650, 0.009348, 0.860802, 0.005815, 0.000316]"
doc_00434,DSG Arizasi mi?,unknown,6,90000,medium,"[0.000462, 0.000372, 0.000663, 0.000760, 0.001785, 0.983737, 0.000827, 0.000366, 0.000647, 0.000322, 0.001074, 0.000747, 0.000712, 0.000983, 0.001341, 0.000934, 0.000572, 0.002499, 0.000651, 0.000546]"
doc_00435,DSG Basinc 40 Altina inmesi,unknown,8,NA,none,"[0.004640, 0.002171, 0.002751, 0.004847, 0.018208, 0.093354, 0.004778, 0.822132, 0.002771, 0.002055, 0.005436, 0.002723, 0.003950, 0.005541, 0.002153, 0.008169, 0.004706, 0.006553, 0.002817, 0.000246]"
doc_00436,DSG Ilk kalkista vuruntu,1.6_TDI,6,180000,medium,"[0.000247, 0.000497, 0.002422, 0.000601, 0.000485, 0.977615, 0.000337, 0.000901, 0.000575, 0.001285, 0.001440, 0.001108, 0.000212, 0.000394, 0.002335, 0.001122, 0.000453, 0.004765, 0.001337, 0.001870]"
doc_00437,DSG Mekatronik motor sesi,1.2_TSI,6,NA,none,"[0.001173, 0.008189, 0.000958, 0.002969, 0.105297, 0.719004, 0.001058, 0.003775, 0.001827, 0.002651, 0.006539, 0.000660, 0.001195, 0.005957, 0.002971, 0.115284, 0.001644, 0.008158, 0.001282, 0.009408]"
doc_00438,DSG Resetleme - 1. Vites Kullanilmamasi,1.2_TSI,10,117000,medium,"[0.000050, 0.000450, 0.000018, 0.000238, 0.000047, 0.000122, 0.000111, 0.000106, 0.000104, 0.987865, 0.000118, 0.000043, 0.000107, 0.000170, 0.000543, 0.000822, 0.000265, 0.008257, 0.000165, 0.000401]"
doc_00439,DSG SANZIMAN DUZ YOLDA GIDERKEN GERI VITES GECME HATASI UYARISI,unknown,6,27500,high,"[0.000337, 0.000111, 0.000299, 0.000376, 0.001445, 0.980068, 0.000408, 0.000207, 0.000298, 0.000084, 0.012511, 0.000355, 0.000303, 0.000533, 0.000345, 0.000414, 0.000347, 0.000898, 0.000330, 0.000331]"
doc_00440,DSG Sorunu,unknown,19,35000,medium,"[0.004303, 0.001163, 0.001813, 0.003120, 0.004071, 0.002108, 0.002960, 0.001032, 0.002692, 0.001511, 0.001958, 0.001461, 0.002286, 0.002292, 0.002402, 0.000431, 0.001695, 0.032496, 0.930116, 0.000089]"
doc_00441,DSG Vites gecisinde gelen islik benzeri ses,1.6_TDI,12,NA,none,"[0.000179, 0.000418, 0.003182, 0.000721, 0.000155, 0.001054, 0.000214, 0.000717, 0.000640, 0.001474, 0.001278, 0.491685, 0.000530, 0.000317, 0.002839, 0.001855, 0.000668, 0.489770, 0.001298, 0.001007]"
doc_00442,DSG Volant Arizasi,1.6_TDI,6,5000,medium,"[0.000082, 0.000176, 0.000674, 0.000195, 0.000184, 0.992928, 0.000116, 0.000285, 0.000195, 0.000370, 0.000495, 0.000331, 0.000069, 0.000134, 0.000699, 0.000355, 0.000140, 0.001393, 0.000474, 0.000705]"
doc_00443,DSG Yelken Mod olmayan aracta ayagi gazdan cekmek,unknown,5,NA,none,"[0.000712, 0.000137, 0.001608, 0.000881, 0.769405, 0.001486, 0.000441, 0.000991, 0.000904, 0.000361, 0.003682, 0.001277, 0.000845, 0.000941, 0.000874, 0.001215, 0.001284, 0.212320, 0.000383, 0.000252]"
doc_00444,DSG basinc tupu degisimi,unknown,6,160000,medium,"[0.000459, 0.000369, 0.000663, 0.000735, 0.001803, 0.984920, 0.000744, 0.000387, 0.000604, 0.000316, 0.000940, 0.000717, 0.000673, 0.000762, 0.001086, 0.000963, 0.000521, 0.002167, 0.000648, 0.000521]"
doc_00445,DSG kavrama ve mekatronik hakkinda,1.2_TSI,6,NA,none,"[0.000233, 0.003380, 0.000132, 0.000951, 0.000620, 0.956183, 0.000288, 0.000518, 0.000421, 0.001013, 0.001926, 0.000139, 0.000449, 0.000817, 0.002101, 0.004120, 0.000562, 0.022693, 0.000606, 0.002847]"
doc_00446,DSG mekatronik degisimi sonrasi kalkista titreme,unknown,3,110000,medium,"[0.001207, 0.000798, 0.657835, 0.001589, 0.003119, 0.001311, 0.001517, 0.000748, 0.002412, 0.000653, 0.001551, 0.000712, 0.001744, 0.002126, 0.001905, 0.005437, 0.001761, 0.312190, 0.001286, 0.000099]"
doc_00447,DSG park eden N'ye alma sonrasi,unknown,3,NA,none,"[0.003378, 0.001951, 0.919208, 0.002782, 0.012470, 0.002805, 0.003977, 0.001781, 0.004793, 0.000833, 0.004150, 0.001157, 0.002941, 0.005834, 0.002116, 0.006328, 0.002771, 0.017549, 0.002878, 0.000297]"
doc_00448,DSG sanzuman vitesi bosa almak?,unknown,18,NA,none,"[0.000115, 0.000079, 0.000678, 0.000447, 0.000164, 0.000457, 0.000191, 0.000116, 0.000346, 0.000197, 0.000266, 0.000381, 0.000561, 0.000186, 0.000777, 0.000484, 0.000418, 0.993844, 0.000240, 0.000052]"
doc_00449,DSG soguk havalarda ilk calistirmadan sonra “frene bas” uyarisi veriyor,1.4_TSI,5,NA,none,"[0.004822, 0.014935, 0.012726, 0.012584, 0.360907, 0.108089, 0.004368, 0.005853, 0.004489, 0.026281, 0.020238, 0.004509, 0.001716, 0.003093, 0.006175, 0.037996, 0.345779, 0.017381, 0.006117, 0.001942]"
doc_00450,DSG yazilim guncellemesi sonrasi S modu ile kalkis,1.6_TDI,4,NA,none,"[0.001086, 0.001352, 0.011740, 0.932553, 0.001979, 0.002207, 0.001980, 0.005287, 0.003015, 0.005409, 0.007409, 0.002676, 0.000450, 0.001994, 0.002231, 0.003688, 0.001399, 0.005850, 0.006548, 0.001146]"
doc_00451,Dashboarddaki hata kodunu bilen var mi?,unknown,7,180400,high,"[0.000131, 0.000234, 0.000446, 0.000416, 0.000510, 0.000472, 0.993147, 0.000214, 0.000356, 0.000290, 0.000664, 0.000270, 0.000324, 0.000340, 0.000463, 0.000539, 0.000311, 0.000510, 0.000203, 0.000159]"
doc_00452,Debriyaj Hava Alma,unknown,3,NA,none,"[0.016779, 0.008828, 0.445929, 0.021911, 0.055891, 0.018672, 0.011636, 0.008174, 0.036687, 0.007712, 0.011840, 0.012791, 0.021453, 0.018625, 0.006237, 0.013285, 0.015214, 0.242811, 0.025110, 0.000416]"
doc_00453,Debriyaj Sesi,1.4_TSI,18,NA,none,"[0.001071, 0.259848, 0.007027, 0.007678, 0.001553, 0.002914, 0.004275, 0.002683, 0.001498, 0.012434, 0.008961, 0.002328, 0.003260, 0.001820, 0.013261, 0.038305, 0.006428, 0.619125, 0.004469, 0.001065]"
doc_00454,Debriyaj Set Bakim Ucreti Yetkili Servis inanilmaz fiyat,1.4_TSI,18,48000,medium,"[0.000046, 0.000379, 0.000286, 0.000271, 0.000018, 0.000169, 0.000099, 0.000042, 0.000063, 0.000652, 0.000334, 0.000134, 0.000215, 0.000036, 0.031736, 0.001083, 0.000334, 0.963606, 0.000225, 0.000271]"
doc_00455,Debriyaj pedalinda yag,unknown,18,NA,none,"[0.007858, 0.003875, 0.019887, 0.022089, 0.031916, 0.239840, 0.020165, 0.012415, 0.021501, 0.007619, 0.017676, 0.016457, 0.012818, 0.018031, 0.011730, 0.101502, 0.012290, 0.413025, 0.008395, 0.000909]"
doc_00456,Debriyaj sorunu,1.4_TSI,18,34000,medium,"[0.000390, 0.005206, 0.005665, 0.005745, 0.000534, 0.002225, 0.001907, 0.001711, 0.000857, 0.008801, 0.007232, 0.002269, 0.002569, 0.000633, 0.011613, 0.426622, 0.003855, 0.507069, 0.002046, 0.003051]"
doc_00457,Debriyajdan gelen anormal tikirti sesi,unknown,6,NA,none,"[0.000867, 0.000077, 0.001731, 0.000838, 0.003535, 0.876270, 0.002632, 0.001082, 0.002977, 0.000510, 0.002707, 0.001527, 0.000881, 0.001668, 0.004255, 0.002826, 0.000307, 0.092090, 0.002638, 0.000581]"
