doc_name,thread_name,engine_group,dominant_topic,mileage_mentioned,mileage_confidence,gamma_vector
doc_00019,1.2 tsi aractan gelen avans sesi??,1.2_TSI,2,1000,high,"[0.000144, 0.983007, 0.000235, 0.000616, 0.000202, 0.000506, 0.000327, 0.000641, 0.000385, 0.000664, 0.000735, 0.000109, 0.000521, 0.000503, 0.001181, 0.002764, 0.000452, 0.004066, 0.000575, 0.002369]"
doc_00020,1.2 tsi kalkista gazi kesik kesik yeme,1.2_TSI,18,75000,medium,"[0.000669, 0.005938, 0.000731, 0.003239, 0.001002, 0.001426, 0.000735, 0.340022, 0.001115, 0.003118, 0.004437, 0.000476, 0.001849, 0.001456, 0.003331, 0.222589, 0.002292, 0.402021, 0.001037, 0.002517]"
doc_00021,1.2 tsi midline 2015 model Golf'e donanim ekleme hk,1.2_TSI,14,NA,none,"[0.004721, 0.011902, 0.001777, 0.006495, 0.192677, 0.003934, 0.001051, 0.004126, 0.005034, 0.005136, 0.009917, 0.000971, 0.001524, 0.727395, 0.001759, 0.009543, 0.001550, 0.004397, 0.004535, 0.001555]"
doc_00022,1.2 tsi midlineplus sol tarafin sicak sag tarafin soguk uflemesi sorunu ve cozumu,1.2_TSI,13,NA,none,"[0.000247, 0.002629, 0.000097, 0.000403, 0.000197, 0.000343, 0.000231, 0.000484, 0.000250, 0.000705, 0.000951, 0.000104, 0.929237, 0.000753, 0.053141, 0.002283, 0.000262, 0.004188, 0.000721, 0.002774]"
doc_00023,1.2 tsi motora fazladan yag koyuldu.,1.2_TSI,11,NA,none,"[0.002186, 0.003207, 0.000434, 0.002089, 0.001986, 0.001527, 0.001255, 0.001288, 0.002012, 0.000933, 0.572372, 0.000300, 0.001045, 0.003335, 0.002213, 0.005402, 0.001718, 0.003740, 0.002118, 0.390839]"
doc_00024,1.2 tsi rolanti ve dusuk devirde tekleme sorunu,1.2_TSI,7,4000,medium,"[0.000067, 0.001331, 0.000233, 0.000590, 0.000218, 0.000380, 0.666805, 0.000695, 0.000453, 0.000722, 0.004619, 0.000105, 0.000262, 0.000620, 0.000556, 0.318653, 0.000287, 0.001689, 0.000157, 0.001559]"
doc_00025,1.2tsi comfort Tlf baglanti sorunu,1.2_TSI,6,NA,none,"[0.005246, 0.185520, 0.002201, 0.016004, 0.039241, 0.630893, 0.002826, 0.008228, 0.008361, 0.009087, 0.011988, 0.001655, 0.003145, 0.010634, 0.004075, 0.025874, 0.004305, 0.016540, 0.009789, 0.004386]"
doc_00026,1.2tsi rolantide dusuk devir-titreme-motor sesi,1.2_TSI,2,90000,medium,"[0.000452, 0.866184, 0.000829, 0.001910, 0.001339, 0.000908, 0.001154, 0.002797, 0.001770, 0.001610, 0.002145, 0.000253, 0.000975, 0.002552, 0.001275, 0.106397, 0.000910, 0.004492, 0.000913, 0.001136]"
doc_00027,1.4 Golf Tsi Act Eco Mod Titreme - Cozuldu,1.4_TSI,20,120000,medium,"[0.000040, 0.000209, 0.000110, 0.000112, 0.000039, 0.000141, 0.000064, 0.000020, 0.000031, 0.000235, 0.000323, 0.000062, 0.000070, 0.000018, 0.000734, 0.000896, 0.000068, 0.000278, 0.000140, 0.996408]"
doc_00028,1.4 Golf Tsi Act Sport Modda 2 silindire gecmesi normal mi ?,unknown,10,NA,none,"[0.012291, 0.004572, 0.010405, 0.019914, 0.039671, 0.012720, 0.012768, 0.007400, 0.019699, 0.767950, 0.003446, 0.013748, 0.007866, 0.014169, 0.004647, 0.007317, 0.010642, 0.013541, 0.016906, 0.000329]"
doc_00029,1.4 TSI 122 HP ve 150 HP FARKI,1.4_TSI,10,300000,medium,"[0.000092, 0.000942, 0.000452, 0.000840, 0.000155, 0.000351, 0.000698, 0.000470, 0.000170, 0.718091, 0.000659, 0.000547, 0.000284, 0.000196, 0.001583, 0.267560, 0.000730, 0.004916, 0.000434, 0.000828]"
doc_00030,1.4 TSI ACT epc isigi,1.4_TSI,16,NA,none,"[0.000043, 0.000562, 0.000618, 0.000529, 0.000116, 0.000234, 0.000358, 0.000437, 0.000112, 0.001101, 0.001087, 0.000302, 0.000188, 0.000111, 0.000620, 0.990825, 0.000263, 0.001880, 0.000166, 0.000447]"
doc_00031,1.4 TSI DSG golf sarsintili calisma sorunu hakkinda yardim..,1.4_TSI,19,90000,high,"[0.000402, 0.003350, 0.001165, 0.002031, 0.000198, 0.000724, 0.000508, 0.000409, 0.000293, 0.004852, 0.002951, 0.000612, 0.000722, 0.000235, 0.004542, 0.009250, 0.000651, 0.007225, 0.957144, 0.002736]"
doc_00032,1.4 TSI EPC ve MOTOR ARIZA LAMBASI,1.4_TSI,11,90000,medium,"[0.000389, 0.001395, 0.001733, 0.002218, 0.000517, 0.001068, 0.001485, 0.001355, 0.000394, 0.001543, 0.579751, 0.001195, 0.000766, 0.000852, 0.001347, 0.394249, 0.001493, 0.004409, 0.001229, 0.002611]"
doc_00033,1.4 TSI Rolantide Titreme,1.4_TSI,4,100000,medium,"[0.000077, 0.001066, 0.000816, 0.808748, 0.000137, 0.000476, 0.000438, 0.000486, 0.000186, 0.001762, 0.001222, 0.000454, 0.000339, 0.000126, 0.001860, 0.108109, 0.000502, 0.071973, 0.000557, 0.000666]"
doc_00034,1.4 TSI Rolantide titreme,1.4_TSI,16,NA,none,"[0.000772, 0.003311, 0.001175, 0.002790, 0.001860, 0.000814, 0.001967, 0.413505, 0.000377, 0.061693, 0.003672, 0.000960, 0.000819, 0.000839, 0.002420, 0.493735, 0.002525, 0.005289, 0.001091, 0.000388]"
doc_00035,1.4 TSI YAG EKSILTMESI,1.4_TSI,2,5000,medium,"[0.000055, 0.991105, 0.000441, 0.000487, 0.000074, 0.000258, 0.000368, 0.000198, 0.000066, 0.000747, 0.000374, 0.000205, 0.000240, 0.000074, 0.001005, 0.001862, 0.000311, 0.001115, 0.000425, 0.000589]"
