topic,feature,coefficient
18,engine_spec_reg_2.0_TSI,-0.1006
18,engine_spec_reg_other,0.1266
18,engine_spec_reg_unknown,0.6767
18,technical_bucket_medium,0.1827
19,mileage_log,-0.1111
19,prod_year_centered,-0.061
19,engine_spec_reg_1.6_TDI,0.5421
19,engine_spec_reg_2.0_TDI,0.1
19,engine_spec_reg_2.0_TSI,-0.1616
19,engine_spec_reg_other,-0.0439
19,engine_spec_reg_unknown,-0.6931
19,technical_bucket_medium,-0.411
20,mileage_log,-0.4242
20,prod_year_centered,-0.0667
20,engine_spec_reg_1.6_TDI,0.2312
20,engine_spec_reg_2.0_TDI,-0.097
20,engine_spec_reg_2.0_TSI,-0.6765
20,engine_spec_reg_other,0.6985
20,engine_spec_reg_unknown,-1.5514
20,technical_bucket_medium,-0.2817
21,mileage_log,0.0248
21,prod_year_centered,-0.1103
21,engine_spec_reg_1.6_TDI,0.8756
21,engine_spec_reg_2.0_TDI,-0.0374
21,engine_spec_reg_2.0_TSI,-0.2786
21,engine_spec_reg_other,0.0296
21,engine_spec_reg_unknown,-0.9854
21,technical_bucket_medium,0.7807
22,mileage_log,-0.4353
22,prod_year_centered,0.0862
22,engine_spec_reg_1.6_TDI,0.146
22,engine_spec_reg_2.0_TDI,0.7405
22,engine_spec_reg_2.0_TSI,-0.4325
22,engine_spec_reg_other,0.0591
22,engine_spec_reg_unknown,0.0042
22,technical_bucket_medium,-0.6165
23,mileage_log,-0.0657
23,prod_year_centered,-0.0542
23,engine_spec_reg_1.6_TDI,1.1866
23,engine_spec_reg_2.0_TDI,0.2246
23,engine_spec_reg_2.0_TSI,-0.1481
23,engine_spec_reg_other,1.0953
23,engine_spec_reg_unknown,-1.7027
23,technical_bucket_medium,0.2678
24,mileage_log,0.4211
24,prod_year_centered,-0.0207
24,engine_spec_reg_1.6_TDI,-0.289
24,engine_spec_reg_2.0_TDI,-0.4074
24,engine_spec_reg_2.0_TSI,-0.0199
24,engine_spec_reg_other,-0.401
24,engine_spec_reg_unknown,0.4984
24,technical_bucket_medium,-0.3654
25,mileage_log,-0.0306
25,prod_year_centered,0.0864
25,engine_spec_reg_1.6_TDI,-0.3027
25,engine_spec_reg_2.0_TDI,0.6092
25,engine_spec_reg_2.0_TSI,-0.2679
25,engine_spec_reg_other,-0.3729
25,engine_spec_reg_unknown,0.7197
25,technical_bucket_medium,-0.2777
26,mileage_log,0.2464
26,prod_year_centered,-0.0486
26,engine_spec_reg_1.6_TDI,0.2144
26,engine_spec_reg_2.0_TDI,0.2042
