doc_name,model_year,dominant_topic,topic_gamma,engine_spec,prod_year,source,component,technical_score,gamma_vector
doc_00011,2001,22,0.0007504646458037757,unknown,2009,nhtsa_recall,EXTERIOR LIGHTING:HEADLIGHTS,0,"[0.001159548507936693, 0.0011099214865194027, 0.0007426687773649913, 0.0009019194950581945, 0.0008276277872703543, 0.0011230628186463562, 0.0014131287006963072, 0.0008221065255870845, 0.0016887604822966387, 0.0016529359629378047, 0.001396347509272554, 0.0034221520844254154, 0.0008386556173453913, 0.0010206467017019288, 0.0007600597891166084, 0.0009966837931022075, 0.0013794290845662084, 0.0022175851279511434, 0.0007827757883248534, 0.0010077231764091948, 0.0007778539959195315, 0.0007504646458037757, 0.001006733222154585, 0.0007057451727948899, 0.0021084025433564984, 0.0010540783239557636, 0.0008173141231073848, 0.0015118976945791326, 0.001253778729216086, 0.0015159712545474522, 0.0008558006283193051, 0.0008529045671501206, 0.0014415726800835872, 0.001119513086447068, 0.0015975673398455346, 0.0014012474689771345, 0.0009359137784852615, 0.0009950963102360853, 0.0009530019991900909, 0.0010389295340728468, 0.0015124517765642473, 0.0009274391873461247, 0.0009262371807564968, 0.001245245080986746, 0.0007535323124869308, 0.00105620264838086, 0.0013895959308358082, 0.0007631613701077957]"
doc_00012,2001,25,0.2655580393194272,unknown,2007,nhtsa_recall,EXTERIOR LIGHTING:BRAKE LIGHTS:SWITCH,4,"[0.015677908369916966, 0.01117393678993615, 0.006219785100950052, 0.0071491539033755646, 0.007187968544118618, 0.009924110952867646, 0.0175683959567133, 0.007072534873381977, 0.008265411653420617, 0.007305548515070152, 0.006009208428194545, 0.029186454255579673, 0.006647403930505933, 0.00900227984852672, 0.006260134841741276, 0.008676364427281258, 0.023685716742372145, 0.08119516479778517, 0.006194250483867873, 0.009188045187236817, 0.006461829820042918, 0.006042344161839059, 0.007955871568702687, 0.005578257074125719, 0.2655580393194272, 0.008329751205099033, 0.0062207814769868535, 0.02823713286238436, 0.016035139658459152, 0.006745488065696535, 0.007139941194200689, 0.007804988124719218, 0.02902790648279117, 0.011915802793889237, 0.009930254039995721, 0.011492298159609069, 0.008054454673823838, 0.008693069479469753, 0.009003564283517408, 0.010413452228147303, 0.012632907932483298, 0.008187487247067974, 0.008646555059616418, 0.015080956229436141, 0.005854435571578067, 0.0089168430884437, 0.02218535793511438, 0.006309831154649059]"
doc_00013,2001,25,1.0,unknown,2005,nhtsa_recall,EXTERIOR LIGHTING:HAZARD FLASHING WARNING LIGHTS:SWITCH,0,"[8.872663200478019e-308, 6.674049967703316e-308, 3.6908891240640813e-308, 4.2812585489266095e-308, 4.275198221173016e-308, 6.048067267487479e-308, 1.0822868655751692e-307, 4.1371819200274558e-308, 5.027413258331305e-308, 4.4486688771703486e-308, 3.6575391728967215e-308, 1.877333823010713e-307, 3.9817317551979204e-308, 5.239191727080856e-308, 3.68568957410671e-308, 5.155430605486002e-308, 1.3209546790569947e-307, 3.624575230969947e-307, 3.6787809409623195e-308, 5.349791612216054e-308, 3.8308474100972404e-308, 3.560536823386316e-308, 4.814587236664666e-308, 3.298832851061687e-308, 1.0, 4.957513142231643e-308, 3.761191770606246e-308, 1.439930785053493e-307, 9.183940901127812e-308, 4.0875830887304887e-308, 4.2121976875864066e-308, 4.580023096860721e-308, 1.559836325850311e-307, 6.771959522742926e-308, 5.95004104936421e-308, 6.930510773920314e-308, 4.856455530147866e-308, 5.090046588239245e-308, 5.383385315110787e-308, 6.130037535937145e-308, 7.442076114349071e-308, 4.88163777635417e-308, 5.165942821127169e-308, 8.885972434196672e-308, 3.4876308934347193e-308, 5.236993568187711e-308, 1.3138044416556712e-307, 3.7282905792165664e-308]"
doc_00014,2001,22,0.03699917220614236,unknown,2007,nhtsa_recall,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:MASTER CYLINDER",3,"[0.008155289216552512, 0.003979395110282675, 0.006085749981347279, 0.003577711338441837, 0.005311164388647423, 0.0036388561806149754, 0.0039145808931761675, 0.009179448891994896, 0.0026591692906377208, 0.0025462336985283838, 0.0023550617294886243, 0.0031547393290785853, 0.004877418367439166, 0.006715600063746518, 0.009401135435330726, 0.0039963797827215555, 0.003992443825881284, 0.00360089413151232, 0.006918532931693129, 0.007166432233254086, 0.006525858889492957, 0.03699917220614236, 0.0033856671511985127, 0.01393097757371524, 0.0033581967780584258, 0.0037529168928507077, 0.00398959247275151, 0.00406394206047556, 0.005250329938625085, 0.0025432076947363986, 0.006443533605975156, 0.00748454287980213, 0.004536781916091297, 0.005849464527704908, 0.0032955320453173466, 0.0033379954793615516, 0.004454229721720064, 0.005969500706593639, 0.004003966952743835, 0.005135219993048549, 0.003840940989515685, 0.00566759041278709, 0.0038605064882153046, 0.004667008374843529, 0.006244895362594753, 0.004451781102739756, 0.004061816412661835, 0.008175709982508505]"
doc_00015,2001,14,0.07472560124385276,unknown,2001,nhtsa_recall,SUSPENSION:FRONT:CONTROL ARM:UPPER ARM,1,"[0.00892564432034406, 0.006465004423119415, 0.0048788805214503355, 0.01020642374131676, 0.00544908362936595, 0.010441144204631308, 0.008505256542467478, 0.006678314161872545, 0.0057901379457498, 0.005061431865514054, 0.004152704846233307, 0.006404488379006507, 0.01342075364140124, 0.07472560124385276, 0.005896247915709167, 0.013033729280107188, 0.008783313019861403, 0.007468636869513783, 0.005002525438276152, 0.009988203823333557, 0.005561577205187418, 0.007308473435207143, 0.009564573017277072, 0.005757962960808034, 0.0068345610114170134, 0.013182001058028633, 0.009562525862905341, 0.009442489391567227, 0.009266239848758514, 0.004638047283403536, 0.02169654204892077, 0.006062925152294503, 0.009151319048439523, 0.026978331647433337, 0.009469018710912918, 0.007419165260800389, 0.005437946151192594, 0.11339319340434359, 0.005365506514854625, 0.007229095039664246, 0.014244506542619762, 0.0062995709813547145, 0.0051492761901957606, 0.012646708440625017, 0.004705874404211664, 0.023174352443262974, 0.008551785597515424, 0.0056519366801082]"
doc_00016,2001,26,0.11798655946346209,unknown,2002,nhtsa_recall,EQUIPMENT:OTHER:OWNERS/SERVICE/OTHER MANUAL,0,"[0.003795206308938655, 0.002849294982123574, 0.0021230795719151584, 0.012769658985408066, 0.002301630461463959, 0.0067529045557442316, 0.003916503436839207, 0.002656524743630121, 0.0038751270571920466, 0.0031637475600269035, 0.0024808397596770494, 0.0033671370439102804, 0.0061270069734535, 0.006850977362264984, 0.0024189625747028168, 0.014397448740230656, 0.004638860157745462, 0.0036776304126334455, 0.002167351839700895, 0.0033951018424786734, 0.0022995808082076916, 0.002805080646528416, 0.010423065561743296, 0.002364438839183525, 0.003555781826266471, 0.11798655946346209, 0.005497628685434151, 0.004823200415757614, 0.0036201321663155714, 0.002756330703959089, 0.006221003912900631, 0.0025211699066192725, 0.004272948146606052, 0.006458366782566586, 0.0072187098967580335, 0.003570018522665624, 0.002329276781108155, 0.0074977840090191435, 0.0024241322192409603, 0.0029047902681324997, 0.00907761433032832, 0.0025480292726063275, 0.0023471274014792883, 0.005158407102522155, 0.002070274245093523, 0.03134777155803841, 0.004101120160736311, 0.002336595579538353]"
doc_00017,2001,17,0.19214794721286826,unknown,2002,nhtsa_recall,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP",0,"[0.01757026148111014, 0.008083154020071311, 0.004841698554500933, 0.0061169900630186355, 0.005521050887987789, 0.009121319417021984, 0.017379649433602783, 0.00549853074647285, 0.005070288028281897, 0.004442754529929079, 0.0036994973041525763, 0.010257289892456518, 0.005670404980280446, 0.0074015720543505435, 0.004825739955231792, 0.007972598033048436, 0.19214794721286826, 0.016681507582943633, 0.0047170535307447985, 0.006801937529923451, 0.004919929993064632, 0.004770715956354462, 0.0068112658973036415, 0.004343177006528054, 0.018671695912018584, 0.006839587779462267, 0.005244877184914388, 0.032711294956523876, 0.014043508028467029, 0.004108015986456401, 0.006044780234122608, 0.006133649702012188, 0.041941528777325605, 0.010818606103469547, 0.0066797784070103654, 0.006722607702817767, 0.005898977011972212, 0.00734730923563785, 0.006626660004452444, 0.00804899764288979, 0.009467788100037825, 0.006115133726358176, 0.006381536808043973, 0.018091527976955443, 0.004451441078944678, 0.0074035953887578295, 0.03749780876702014, 0.004872765046072012]"
doc_00018,2002,24,1.0,unknown,2013,nhtsa_recall,ENGINE AND ENGINE COOLING:ENGINE,6,"[9.059010416763416e-308, 4.2170864412827917e-308, 8.69376162833655e-308, 3.058232142185606e-308, 6.739604397293491e-308, 3.173859468359596e-308, 3.65037606279922e-308, 1.3609001861848253e-307, 2.529782132639454e-308, 2.4538026334878e-308, 2.3082065449951104e-308, 3.102270503266317e-308, 3.829762407507857e-308, 5.253588822880289e-308, 2.053145165611698e-307, 3.3834252856571265e-308, 3.7173210885455305e-308, 3.5266426596242383e-308, 8.779674879836188e-308, 7.310745343879832e-308, 9.60836249505337e-308, 2.064869805363569e-307, 2.9326445109842107e-308, 1.0, 3.275601078318783e-308, 3.2192477229728213e-308, 3.274480651156467e-308, 3.787850897853982e-308, 5.194159677813273e-308, 2.479828723500881e-308, 4.810694878513688e-308, 1.0360282800484832e-307, 4.337061250625814e-308, 4.921790257764224e-308, 2.99512835606423e-308, 3.3310732031894706e-308, 4.981860127942143e-308, 4.731978931000392e-308, 4.505925769891762e-308, 5.530075849866511e-308, 3.411659406526887e-308, 6.726148850565243e-308, 4.3423715723866794e-308, 4.191153901700368e-308, 7.708364917920201e-308, 3.7329391640391214e-308, 3.8323903796954683e-308, 1.5333014782337298e-307]"
doc_00019,2002,22,0.0007503380909028418,unknown,2009,nhtsa_recall,EXTERIOR LIGHTING,0,"[0.0011595831358019836, 0.001109931968872866, 0.0007425459481881174, 0.0009017460717035475, 0.0008275326721433347, 0.0011229715658393237, 0.001413289908937286, 0.0008219978443686404, 0.0016881684663601893, 0.0016521338036896397, 0.0013954845392386212, 0.0034255378405861226, 0.0008385139721868787, 0.0010205675882456633, 0.0007599387810074099, 0.0009965430662214707, 0.0013795373845367199, 0.0022186564962043136, 0.0007826349024962901, 0.0010076837761175525, 0.0007777444971625326, 0.0007503380909028418, 0.0010065579659082628, 0.0007056135559745105, 0.002109225396525594, 0.0010539128070383653, 0.000817154228551125, 0.0015120891034117285, 0.0012538745372166085, 0.0015151552725506372, 0.0008556794809441325, 0.0008528086417215636, 0.0014417721220067836, 0.0011194980307290563, 0.0015973215740085558, 0.001401364393534312, 0.0009358426272175124, 0.0009950093741208218, 0.0009529392747728157, 0.0010389163700359975, 0.0015124769538778443, 0.0009273727181606295, 0.00092616225743724, 0.0012453089957704003, 0.0007533867645630868, 0.0010560815213193709, 0.0013897406912474351, 0.0007630448227807403]"
doc_00020,2002,22,0.000750500922809495,unknown,2009,nhtsa_recall,EXTERIOR LIGHTING:HEADLIGHTS,0,"[0.0011595541938430858, 0.0011099503489129042, 0.0007427104936328275, 0.0009019540569380612, 0.0008276686750126137, 0.001123087782849674, 0.001413119670907748, 0.0008221414471993251, 0.001688810576024849, 0.0016530368732267334, 0.0013964938279314094, 0.0034213290197374177, 0.0008386914238412494, 0.0010206640157726737, 0.0007600976196965038, 0.0009967105416992773, 0.0013794073926554884, 0.0022173439354224553, 0.0007828207590138964, 0.0010077480348271164, 0.000777894316990576, 0.000750500922809495, 0.001006767907047613, 0.0007057839879362623, 0.0021082281919326535, 0.0010541037870667894, 0.0008173548239679485, 0.0015118417206954511, 0.00125377841690853, 0.0015160939784692065, 0.0008558303230786092, 0.0008529412195727082, 0.0014415387234925623, 0.0011195160751657535, 0.0015975636442077284, 0.001401242756044658, 0.0009359588565156251, 0.0009951165470120722, 0.0009530415235098123, 0.0010389562774656344, 0.0015124165367034772, 0.000927478564494201, 0.0009262781211318728, 0.0012452440043387745, 0.0007535783464626863, 0.0010562207014365008, 0.0013895798224452705, 0.0007632010161886891]"
doc_00021,2002,25,0.23910445752552675,unknown,2007,nhtsa_recall,EXTERIOR LIGHTING:BRAKE LIGHTS:SWITCH,4,"[0.01666226975330718, 0.0117219585329624, 0.006589436934691111, 0.007589522847384213, 0.007589194916107047, 0.010493330236973476, 0.01838309221956247, 0.007491296533269986, 0.00873548764337575, 0.007720385265516423, 0.00635685862889774, 0.030006760835875643, 0.007036254836809968, 0.009527619217281756, 0.0066282594028624535, 0.009219697527116514, 0.025595433753137477, 0.07871694640060109, 0.006563617258011326, 0.00968263672855943, 0.006827178400577668, 0.00639944575791925, 0.008437286574774569, 0.005906731690255691, 0.23910445752552675, 0.008838343877509246, 0.006582709095556235, 0.030776145475002615, 0.016884055438796702, 0.007135878661521718, 0.007563060626060384, 0.008270532524299105, 0.030950842122019335, 0.012644525091017225, 0.010490269881428543, 0.011976795992781829, 0.008474690518367434, 0.00919791120063332, 0.00949212558100923, 0.010962153038680459, 0.0133423198022052, 0.00862413316960941, 0.009126761132800094, 0.01590435887729836, 0.006202262399543409, 0.009456261971801067, 0.023487074971191815, 0.006676147623668325]"
doc_00022,2002,25,1.0,unknown,2005,nhtsa_recall,EXTERIOR LIGHTING:HAZARD FLASHING WARNING LIGHTS:SWITCH,0,"[8.884511120316066e-308, 6.678668606046542e-308, 3.692900773403636e-308, 4.2817186001612137e-308, 4.2775235375255284e-308, 6.04800022744591e-308, 1.0826013719903473e-307, 4.1394350026108285e-308, 5.025044747828106e-308, 4.4467272701620856e-308, 3.6563447396269687e-308, 1.873248333738296e-307, 3.9822907989651486e-308, 5.240759178538431e-308, 3.68746501652919e-308, 5.156480524836356e-308, 1.323093464066995e-307, 3.630642357926136e-307, 3.680334867464116e-308, 5.352576247296706e-308, 3.832681671822008e-308, 3.561932084009613e-308, 4.81449340259761e-308, 3.300134870389106e-308, 1.0, 4.957647666684772e-308, 3.7614182451611155e-308, 1.4422201423117441e-307, 9.19357073377143e-308, 4.086222427602813e-308, 4.213379861465381e-308, 4.583199853771711e-308, 1.5632209599474561e-307, 6.776150448722339e-308, 5.947698798181465e-308, 6.929309891964912e-308, 4.858711174931986e-308, 5.091424719987345e-308, 5.387201317995236e-308, 6.134577214898092e-308, 7.440830396817045e-308, 4.884184631924269e-308, 5.169654014310706e-308, 8.890757106754185e-308, 3.4890049835617607e-308, 5.237805730757691e-308, 1.3153828918609248e-307, 3.7300716574535056e-308]"
doc_00023,2002,22,0.036742611652255924,unknown,2007,nhtsa_recall,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:MASTER CYLINDER",3,"[0.008157688194090107, 0.003983725080314032, 0.006093190920951495, 0.003584382201148342, 0.005316106001654601, 0.0036452050001368214, 0.003920338822267599, 0.0091769615111001, 0.0026637074238897844, 0.0025506684443803627, 0.0023593542425071716, 0.003159461041753387, 0.004887047939981272, 0.006721989519245148, 0.009401979549990874, 0.004003390349086808, 0.003998220846418927, 0.003605795629212657, 0.006930819958883323, 0.007166980710353743, 0.0065294808094026515, 0.036742611652255924, 0.0033919614308008886, 0.013936794725957678, 0.003363119817602689, 0.0037594394349434097, 0.00399787358311266, 0.004069582253248106, 0.00525503211074077, 0.0025477177001515324, 0.00645325200079323, 0.007489491941355852, 0.004542158085546623, 0.005855062779696241, 0.0033009053711029594, 0.003342214467628603, 0.004459598847186095, 0.0059766720015365146, 0.004008587655676897, 0.005139587280356559, 0.003846759982215588, 0.005671966688253423, 0.003865115207904723, 0.004672948171751643, 0.0062573333527131845, 0.004458739111216556, 0.004067355983579153, 0.008178739598544796]"
